a,b,pearson_log_cpm
E-MTAB-12305:N3,GSE197461:ADC_2,0.8471
E-MTAB-12305:T1,GSE197461:ADC_5,0.8471
E-MTAB-12305:T1,GSE208653:HSIL_1,0.847
GSE208653:ADC_6,GSE197461:ADC_4,0.8465
E-MTAB-12305:N1,GSE197461:SCC_1,0.8448
E-MTAB-12305:N2,GSE208653:SCC_4,0.8434
E-MTAB-12305:H2,GSE197461:SCC_2,0.8432
E-MTAB-12305:T3,GSE208653:N_HPVpos_1,0.8428
E-MTAB-12305:N2,GSE197461:ADC_5,0.8427
GSE208653:HSIL_2,GSE197461:SCC_2,0.8425
E-MTAB-12305:T1,GSE197461:SCC_2,0.8387
GSE208653:SCC_4,GSE197461:ADC_2,0.8377
E-MTAB-12305:T4,GSE197461:ADC_2,0.8368
GSE208653:SCC_5,GSE197461:ADC_2,0.8367
E-MTAB-12305:L1,GSE197461:ADC_2,0.8367
GSE208653:HSIL_1,GSE197461:ADC_4,0.8362
E-MTAB-12305:N1,GSE197461:ADC_3,0.8351
E-MTAB-12305:N1,GSE208653:HSIL_2,0.8344
E-MTAB-12305:N1,GSE197461:ADC_5,0.8333
E-MTAB-12305:T1,GSE197461:ADC_2,0.8332
E-MTAB-12305:N1,GSE208653:SCC_4,0.8327
E-MTAB-12305:N3,GSE208653:ADC_6,0.8278
E-MTAB-12305:N2,GSE197461:ADC_1,0.8263
E-MTAB-12305:T2,GSE197461:SCC_2,0.8263
E-MTAB-12305:T4,GSE197461:ADC_4,0.8228
GSE208653:HSIL_2,GSE197461:ADC_4,0.8216
E-MTAB-12305:N3,GSE208653:N_HPVneg_1,0.82
E-MTAB-12305:T3,GSE197461:ADC_1,0.8197
E-MTAB-12305:N3,GSE208653:N_HPVneg_2,0.8171
E-MTAB-12305:N3,GSE208653:N_HPVpos_2,0.8164
GSE208653:SCC_5,GSE197461:ADC_4,0.8137
E-MTAB-12305:N1,GSE197461:ADC_1,0.8113
E-MTAB-12305:T3,GSE197461:SCC_2,0.8103
E-MTAB-12305:H2,GSE197461:ADC_4,0.8098
E-MTAB-12305:T3,GSE197461:ADC_5,0.8096
E-MTAB-12305:T2,GSE197461:ADC_4,0.8061
