a,b,n_a,n_b,observed_overlap,expected_by_chance,ratio_obs_over_exp,jaccard
E-MTAB-12305:L1,GSE173231:CX5,10283,3169,1,44.2,0.02,0.0001
GSE208653:N_HPVpos_1,GSE173231:CX1,16218,1880,1,41.4,0.02,0.0001
E-MTAB-12305:N3,GSE173231:CX5,11465,3169,1,49.3,0.02,0.0001
E-MTAB-12305:T3,GSE197461:SCC_2,14248,6914,3,133.6,0.02,0.0001
GSE208653:N_HPVneg_2,GSE197461:SCC_2,9203,6914,1,86.3,0.01,0.0001
E-MTAB-12305:N1,GSE197461:ADC_4,14764,4406,1,88.2,0.01,0.0001
GSE208653:N_HPVpos_1,GSE197461:ADC_4,16218,4406,1,96.9,0.01,0.0
E-MTAB-12305:L1,GSE197461:SCC_2,10283,6914,1,96.4,0.01,0.0001
E-MTAB-12305:T4,GSE197461:SCC_2,10630,6914,1,99.7,0.01,0.0001
GSE208653:N_HPVpos_1,GSE173231:CX3,16218,3211,1,70.6,0.01,0.0001
GSE208653:ADC_6,GSE197461:SCC_2,10154,6914,1,95.2,0.01,0.0001
E-MTAB-12305:T3,GSE197461:ADC_1,14248,5753,1,111.2,0.01,0.0001
E-MTAB-12305:T3,GSE197461:ADC_5,14248,3562,1,68.8,0.01,0.0001
GSE208653:N_HPVpos_1,GSE197461:SCC_1,16218,3428,1,75.4,0.01,0.0001
GSE208653:SCC_4,GSE197461:ADC_1,8979,5753,1,70.1,0.01,0.0001
GSE208653:SCC_4,GSE197461:SCC_2,8979,6914,1,84.2,0.01,0.0001
E-MTAB-12305:N2,GSE197461:ADC_1,13955,5753,1,108.9,0.01,0.0001
E-MTAB-12305:N3,GSE197461:SCC_3,11465,5970,1,92.8,0.01,0.0001
E-MTAB-12305:N1,GSE197461:SCC_2,14764,6914,2,138.5,0.01,0.0001
E-MTAB-12305:N1,GSE197461:ADC_5,14764,3562,1,71.3,0.01,0.0001
E-MTAB-12305:N1,GSE197461:SCC_3,14764,5970,1,119.5,0.01,0.0
GSE208653:N_HPVneg_1,GSE197461:ADC_4,11619,4406,1,69.4,0.01,0.0001
GSE208653:N_HPVneg_1,GSE197461:SCC_2,11619,6914,1,109.0,0.01,0.0001
E-MTAB-12305:N3,GSE197461:SCC_2,11465,6914,1,107.5,0.01,0.0001
GSE208653:HSIL_1,GSE173231:CX4,6346,4266,0,36.7,0.0,0.0
E-MTAB-12305:T2,GSE173231:CX7B,8818,1710,0,20.5,0.0,0.0
GSE208653:SCC_5,GSE197461:ADC_4,6734,4406,0,40.2,0.0,0.0
E-MTAB-12305:T2,GSE173231:CX6A,8818,1448,0,17.3,0.0,0.0
GSE208653:SCC_5,GSE173231:CX1,6734,1880,0,17.2,0.0,0.0
GSE208653:HSIL_2,GSE173231:CX3,7371,3211,0,32.1,0.0,0.0
GSE208653:SCC_5,GSE173231:CX2,6734,1775,0,16.2,0.0,0.0
GSE208653:HSIL_1,GSE173231:CX5,6346,3169,0,27.3,0.0,0.0
GSE208653:HSIL_2,GSE197461:ADC_2,7371,2049,0,20.5,0.0,0.0
GSE208653:HSIL_2,GSE197461:SCC_3,7371,5970,0,59.7,0.0,0.0
GSE208653:HSIL_2,GSE197461:SCC_2,7371,6914,0,69.1,0.0,0.0
GSE208653:SCC_5,GSE173231:CX4,6734,4266,0,39.0,0.0,0.0
GSE208653:SCC_5,GSE173231:CX3,6734,3211,0,29.3,0.0,0.0
GSE208653:SCC_4,GSE173231:CX3,8979,3211,0,39.1,0.0,0.0
GSE208653:HSIL_2,GSE173231:CX1,7371,1880,0,18.8,0.0,0.0
E-MTAB-12305:T1,GSE197461:ADC_5,12732,3562,0,61.5,0.0,0.0
E-MTAB-12305:T1,GSE173231:CX1,12732,1880,0,32.5,0.0,0.0
E-MTAB-12305:T1,GSE197461:ADC_4,12732,4406,0,76.1,0.0,0.0
E-MTAB-12305:T1,GSE197461:ADC_3,12732,3310,0,57.2,0.0,0.0
E-MTAB-12305:T1,GSE197461:SCC_3,12732,5970,0,103.1,0.0,0.0
GSE208653:SCC_5,GSE173231:CX6B,6734,1487,0,13.6,0.0,0.0
