# Excluded records with reason (spec v1.0 section 2)
# run date: 2026-08-24
stage	pmid	doi	year	title	reason	basis
1_no_modality_term	33412294	10.1016/j.clim.2020.108662	2021	SARS-CoV-2 infection associated with hepatitis in an infant with X-linked severe combined immunodeficiency.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	30111414	10.7534/j.issn.1009-2137.2018.04.026	2018	[Comparison of Clinical Characteristics, Curative Efficacy, Total Survival Rate and Progression -Free Survival Rate in Different Subtypes of Early Nasopharyngea	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	33209062	10.2147/cmar.s274913	2020	PD-L1 Expression is Highly Associated with Tumor-Associated Macrophage Infiltration in Nasopharyngeal Carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	33194048	NOT_FOUND	2020	Down-regulation of UL16-binding protein 3 mediated by interferon-gamma impairs immune killing in nasopharyngeal carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32829467	10.1007/s10875-020-00839-x	2020	Immune Alterations in a Patient with SARS-CoV-2-Related Acute Respiratory Distress Syndrome.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	37486391	10.1007/s00277-023-05375-3	2023	"Sandwich" protocol based on modified SMILE regimen for children with newly extranodal NK/T cell lymphoma, nasal type: a single-arm, single-center clinical stud	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32214110	10.1038/s41598-020-62081-0	2020	Downregulation of HLA-ABC expression through promoter hypermethylation and downmodulation of MIC-A/B surface expression in LMP2A-positive epithelial carcinoma c	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.1101/2020.05.01.20087239	2020	Immune alterations during SARS-CoV-2-related acute respiratory distress syndrome	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	30430128	10.12998/wjcc.v6.i13.694	2018	Natural killer/T-cell lymphoma with concomitant syndrome of inappropriate antidiuretic hormone secretion: A case report and review of literature.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	28874193	10.1186/s12894-017-0273-8	2017	Extranodal nasal-type natural killer/T-cell lymphoma with penile involvement: a case report and review of the literature.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	30115477	10.1016/j.oraloncology.2018.07.011	2018	Cellular-based immunotherapy in Epstein-Barr virus induced nasopharyngeal cancer.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	30022006	10.3390/pathogens7030063	2018	Epstein-Barr Virus-Induced Epigenetic Pathogenesis of Viral-Associated Lymphoepithelioma-Like Carcinomas and Natural Killer/T-Cell Lymphomas.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	26642249	10.2217/imt.15.103	2016	Novel targets for natural killer/T-cell lymphoma immunotherapy.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.20944/preprints202304.0807.v4	2024	Countering and Tackling Advanced First-Line IMMUNE Evasion: The Most Feasible and Accurate Approach to Control and Eradicate Rabies?	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36935198	10.3760/cma.j.cn112141-20221230-00790	2023	[Clinical analysis of 7 cases of pregnancy with non-Hodgkin lymphoma].	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	29580037	10.22034/apjcp.2018.19.3.661	2018	Analysis of the Expression of Surface Receptors on NK Cells and NKG2D on Immunocytes in Peripheral Blood of Patients with Nasopharyngeal Carcinoma	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
