dataset_id	compartment	gene	category	soup_fraction	nk_myeloid_cpm_ratio	scale_a_verdict	scale_b_verdict	combined_verdict
VT2018	Decidua	KLRD1	control_nk	0.020962646329371178	11.635464508785402	above_ambient	above_pickup_band	positive
VT2018	Decidua	NKG7	control_nk	0.021078582520366665	9.377309209183666	above_ambient	above_pickup_band	positive
VT2018	Decidua	GNLY	control_nk	0.020846195640863242	9.476033833670254	above_ambient	above_pickup_band	positive
VT2018	Decidua	PRF1	control_nk	0.020923039006563476	12.291056362493675	above_ambient	above_pickup_band	positive
VT2018	Decidua	GZMB	control_nk	0.02105316234887076	8.950293094416322	above_ambient	above_pickup_band	positive
VT2018	Decidua	NCR1	control_nk	0.02078835941384616	9.927771616690292	above_ambient	above_pickup_band	positive
VT2018	Decidua	IGKC	control_ambient	0.09196885272906219	1.25298415181166	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	LYZ	control_ambient	0.16348607835560505	0.05376556666626573	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	C1QA	control_ambient	0.17586471354423203	0.04407502393711709	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	DCN	control_ambient	1.0	1.0778566756055263	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	COL1A1	control_ambient	1.0	1.2261478220979505	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	IGFBP1	control_ambient	1.0	1.1356908897304252	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	HLA-G	control_ambient	1.0	1.064810679293857	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	CSH1	control_ambient	1.0	0.6598736424268911	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	HBB	control_ambient	0.407928778752526	0.9219033627913688	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	CD3E	control_purity	0.024184959596263503	7.823629169011729	above_ambient	above_pickup_band	positive
VT2018	Decidua	CD3D	control_purity	0.05496644295954833	2.163984979893954	above_ambient	above_pickup_band	positive
VT2018	Decidua	TRBC2	control_purity	0.02992859827591547	4.588790421509061	above_ambient	above_pickup_band	positive
VT2018	Decidua	TRAC	control_purity	0.06528772075178582	2.536144274509754	above_ambient	above_pickup_band	positive
VT2018	Decidua	ENTPD1	marker_subset	0.031963667166816534	1.541133463590077	above_ambient	above_pickup_band	positive
VT2018	Decidua	ITGAE	marker_subset	0.08729681314252018	1.584405713588894	above_ambient	above_pickup_band	positive
VT2018	Decidua	ITGB2	marker_subset	0.03987933417674636	0.5536758460741384	above_ambient	above_pickup_band	positive
VT2018	Decidua	CD160	marker_subset	0.022610970853159353	10.01528336431909	above_ambient	above_pickup_band	positive
VT2018	Decidua	KLRB1	marker_subset	0.02476943587316321	8.006220403738684	above_ambient	above_pickup_band	positive
VT2018	Decidua	ITGA1	marker_subset	0.042561952879073564	7.747113463163114	above_ambient	above_pickup_band	positive
VT2018	Decidua	CD9	marker_subset	0.06347462541739574	0.49691069446207253	above_ambient	above_pickup_band	positive
VT2018	Decidua	EOMES	marker_subset	0.021122388511847848	10.474349394759424	above_ambient	above_pickup_band	positive
VT2018	Decidua	TBX21	marker_subset	0.026976976060537426	5.978589868477925	above_ambient	above_pickup_band	positive
VT2018	Decidua	MKI67	marker_subset	0.027339843233109073	3.0058720179441094	above_ambient	above_pickup_band	positive
VT2018	Decidua	PTN	prospective	1.0	1.823630389360031	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	OGN	prospective	1.0	1.5794224937413834	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	SPP1	prospective	0.246540104285564	0.039731516257742794	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	VEGFA	prospective	0.5059489501912627	0.0411619430741264	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	PGF	prospective	1.0	1.2692467509945817	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	IGF2	prospective	1.0	0.23518991213668153	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	ITGAD	prospective	0.021415183276828793	6.522320112568788	above_ambient	above_pickup_band	positive
VT2018	Decidua	ANGPT2	prospective	0.9018393630150924	2.5108511045083377	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	ANG	prospective	1.0	0.0633060263734982	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	IL10	prospective	0.2792560559107484	0.035721455681743404	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
