dataset_id	donor_id	compartment	subset	gene	n_cells	n_detected	detection_rate	mean_cpm	depth_floor	cells_retained_frac	qc_flag
VT2018	D10	Decidua	Epithelial	OGN	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	SPP1	10	4	0.4	561.1672278338945	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	VEGFA	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	PGF	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	IGF2	10	1	0.1	56.116722783389456	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	ITGAD	10	1	0.1	56.116722783389456	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	ANGPT2	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	ANG	10	1	0.1	56.116722783389456	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	IL10	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CCL2	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CCL3	1	1	1.0	1122.3344556677891	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CCL4	1	1	1.0	1122.3344556677891	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CCL5	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CCL20	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	XCL1	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	XCL2	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CXCL8	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CXCL10	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CXCL12	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CXCL16	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CCL1	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CCL3L1	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CCL4L2	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	PPBP	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CCR1	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CCR2	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CCR5	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CCR9	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CXCR3	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CXCR4	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CXCR6	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CX3CR1	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	S1PR1	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	S1PR5	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	SELL	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	ACKR2	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	XCR1	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	KLRD1	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	NKG7	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	GNLY	1	1	1.0	3367.0033670033667	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	PRF1	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	GZMB	1	1	1.0	1122.3344556677891	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	NCR1	1	0	0.0	0.0	1782	1.0	below_min_cells
