dataset_id	donor_id	compartment	subset	depth_floor	n_cells_pre_downsample	n_cells_post_downsample	cells_retained_frac
VT2018	D10	Decidua	Epithelial	2093	10	10	1.0
VT2018	D10	Decidua	Hofbauer	2093	1	1	1.0
VT2018	D10	Decidua	ILC3	2093	7	7	1.0
VT2018	D10	Decidua	Myeloid	2093	633	633	1.0
VT2018	D10	Decidua	Perivascular	2093	68	68	1.0
VT2018	D10	Decidua	Plasma	2093	1	1	1.0
VT2018	D10	Decidua	Stromal	2093	972	972	1.0
VT2018	D10	Decidua	T	2093	17	17	1.0
VT2018	D10	Decidua	Trophoblast	2093	166	166	1.0
VT2018	D10	Decidua	cDC1	2093	35	35	1.0
VT2018	D10	Decidua	dNK1	2093	399	398	0.9974937343358395
VT2018	D10	Decidua	dNK2	2093	314	314	1.0
VT2018	D10	Decidua	dNK3	2093	37	37	1.0
VT2018	D10	Decidua	dNKp	2093	83	83	1.0
VT2018	D10	Decidua	pbNK_CD56dim	2093	2	2	1.0
VT2018	D10	Placenta	Endothelial	2093	37	37	1.0
VT2018	D10	Placenta	Epithelial	2093	9	9	1.0
VT2018	D10	Placenta	Granulocyte	2093	5	5	1.0
VT2018	D10	Placenta	Hofbauer	2093	626	626	1.0
VT2018	D10	Placenta	Myeloid	2093	197	197	1.0
VT2018	D10	Placenta	Plasma	2093	1	1	1.0
VT2018	D10	Placenta	Stromal	2093	496	496	1.0
VT2018	D10	Placenta	Trophoblast	2093	6099	6099	1.0
VT2018	D10	Placenta	cDC1	2093	1	1	1.0
VT2018	D10	Placenta	dNK1	2093	1	1	1.0
VT2018	D10	Placenta	dNK2	2093	1	1	1.0
VT2018	D11	Placenta	Endothelial	2093	2	2	1.0
VT2018	D11	Placenta	Granulocyte	2093	3	3	1.0
VT2018	D11	Placenta	Hofbauer	2093	137	137	1.0
VT2018	D11	Placenta	Myeloid	2093	56	56	1.0
VT2018	D11	Placenta	Stromal	2093	177	177	1.0
VT2018	D11	Placenta	Trophoblast	2093	2127	2127	1.0
VT2018	D12	Decidua	Endothelial	2093	51	50	0.9803921568627451
VT2018	D12	Decidua	Epithelial	2093	18	16	0.8888888888888888
VT2018	D12	Decidua	Granulocyte	2093	8	4	0.5
VT2018	D12	Decidua	ILC3	2093	44	15	0.3409090909090909
VT2018	D12	Decidua	Myeloid	2093	608	270	0.4440789473684211
VT2018	D12	Decidua	Perivascular	2093	20	20	1.0
VT2018	D12	Decidua	Plasma	2093	52	24	0.46153846153846156
VT2018	D12	Decidua	Stromal	2093	1734	1729	0.9971164936562861
VT2018	D12	Decidua	T	2093	158	44	0.27848101265822783
VT2018	D12	Decidua	Trophoblast	2093	12	11	0.9166666666666666
VT2018	D12	Decidua	cDC1	2093	48	38	0.7916666666666666
VT2018	D12	Decidua	dNK1	2093	126	68	0.5396825396825397
VT2018	D12	Decidua	dNK2	2093	373	127	0.34048257372654156
VT2018	D12	Decidua	dNK3	2093	29	14	0.4827586206896552
VT2018	D12	Decidua	dNKp	2093	67	63	0.9402985074626866
VT2018	D12	Decidua	pbNK_CD56bright	2093	2	0	0.0
VT2018	D12	Decidua	pbNK_CD56dim	2093	1	0	0.0
VT2018	D12	Placenta	Endothelial	2093	86	86	1.0
VT2018	D12	Placenta	Epithelial	2093	34	34	1.0
VT2018	D12	Placenta	Granulocyte	2093	2	2	1.0
VT2018	D12	Placenta	Hofbauer	2093	219	219	1.0
VT2018	D12	Placenta	Myeloid	2093	190	190	1.0
VT2018	D12	Placenta	Plasma	2093	2	2	1.0
VT2018	D12	Placenta	Stromal	2093	502	502	1.0
VT2018	D12	Placenta	Trophoblast	2093	1212	1212	1.0
VT2018	D6	Blood	Granulocyte	2093	16	16	1.0
VT2018	D6	Blood	ILC3	2093	1	1	1.0
VT2018	D6	Blood	Myeloid	2093	468	373	0.7970085470085471
VT2018	D6	Blood	Plasma	2093	48	26	0.5416666666666666
VT2018	D6	Blood	T	2093	415	351	0.8457831325301205
VT2018	D6	Blood	cDC1	2093	3	3	1.0
VT2018	D6	Blood	dNK2	2093	1	0	0.0
VT2018	D6	Blood	pbNK_CD56bright	2093	20	9	0.45
VT2018	D6	Blood	pbNK_CD56dim	2093	563	445	0.7904085257548845
VT2018	D6	Decidua	Endothelial	2093	430	430	1.0
VT2018	D6	Decidua	Epithelial	2093	72	72	1.0
VT2018	D6	Decidua	Granulocyte	2093	47	34	0.723404255319149
VT2018	D6	Decidua	Hofbauer	2093	1	1	1.0
VT2018	D6	Decidua	ILC3	2093	37	37	1.0
VT2018	D6	Decidua	Myeloid	2093	576	531	0.921875
VT2018	D6	Decidua	Perivascular	2093	706	706	1.0
VT2018	D6	Decidua	Plasma	2093	4	4	1.0
VT2018	D6	Decidua	Stromal	2093	322	316	0.9813664596273292
VT2018	D6	Decidua	T	2093	185	154	0.8324324324324325
VT2018	D6	Decidua	Trophoblast	2093	28	27	0.9642857142857143
VT2018	D6	Decidua	cDC1	2093	33	31	0.9393939393939394
VT2018	D6	Decidua	dNK1	2093	1171	1015	0.8667805294619982
VT2018	D6	Decidua	dNK2	2093	585	531	0.9076923076923077
VT2018	D6	Decidua	dNK3	2093	1181	1137	0.9627434377646062
VT2018	D6	Decidua	dNKp	2093	38	38	1.0
VT2018	D6	Decidua	pbNK_CD56dim	2093	40	38	0.95
VT2018	D7	Blood	Granulocyte	2093	5	3	0.6
VT2018	D7	Blood	Myeloid	2093	30	21	0.7
VT2018	D7	Blood	Plasma	2093	6	6	1.0
VT2018	D7	Blood	T	2093	53	5	0.09433962264150944
VT2018	D7	Blood	pbNK_CD56bright	2093	3	2	0.6666666666666666
