dataset_id	donor	compartment	celltype_raw	subset	n_cells_pre_qc	n_cells_post_qc	frac_cells_kept_qc	median_umi	median_genes	median_mito_frac	min_genes_threshold	max_mito_threshold
VT2018	D8	Decidua	Granulocytes	Granulocyte	11	11	1.0	3676.0	1323.0	0.0	200	0.1
VT2018	D8	Decidua	ILC3	ILC3	20	20	1.0	2468.5	1120.5	0.0	200	0.1
VT2018	D8	Decidua	MO	Myeloid	1	1	1.0	2937.0	1052.0	0.0	200	0.1
VT2018	D8	Decidua	NK CD16+	pbNK_CD56dim	14	14	1.0	2138.5	991.0	0.0	200	0.1
VT2018	D8	Decidua	NK CD16-	pbNK_CD56bright	1	1	1.0	2147.0	786.0	0.0	200	0.1
VT2018	D8	Decidua	Plasma	Plasma	16	16	1.0	2246.5	798.5	0.0	200	0.1
VT2018	D8	Decidua	SCT	Trophoblast	4	4	1.0	9458.0	2833.5	0.0	200	0.1
VT2018	D8	Decidua	Tcells	T	256	256	1.0	2436.5	998.0	0.0	200	0.1
VT2018	D8	Decidua	VCT	Trophoblast	3	3	1.0	16619.0	3887.0	0.0	200	0.1
VT2018	D8	Decidua	dM1	Myeloid	333	333	1.0	3697.0	1271.0	0.0	200	0.1
VT2018	D8	Decidua	dM2	Myeloid	1922	1922	1.0	2606.0	1115.0	0.0	200	0.1
VT2018	D8	Decidua	dM3	Myeloid	13	13	1.0	7794.0	2472.0	0.0	200	0.1
VT2018	D8	Decidua	dNK p	dNKp	263	263	1.0	7435.0	2307.0	0.0	200	0.1
VT2018	D8	Decidua	dNK1	dNK1	1518	1518	1.0	3343.0	1323.5	0.0	200	0.1
VT2018	D8	Decidua	dNK2	dNK2	554	554	1.0	2913.5	1217.5	0.0	200	0.1
VT2018	D8	Decidua	dNK3	dNK3	173	173	1.0	2053.0	978.0	0.0	200	0.1
VT2018	D8	Decidua	dP1	Perivascular	16	16	1.0	4816.0	1750.5	0.0	200	0.1
VT2018	D8	Decidua	dP2	Perivascular	68	68	1.0	4289.0	1607.5	0.0	200	0.1
VT2018	D8	Decidua	dS1	Stromal	1386	1386	1.0	10801.5	2598.5	0.0	200	0.1
