gene	col	lineage	class	lineage_cpm	ambient_cpm	nk_cpm	soup_fraction	saturated	dataset_id	compartment
GCSAML	12272	Granulocyte	haematopoietic	134.11103542234332	0.2738965814998096	0.10338864556945535	0.26210875423201835	False	VT2018	Decidua
CMA1	1932	Granulocyte	haematopoietic	106.43732970027249	0.18936059955542392	0.06892576371297024	0.27181648587024115	False	VT2018	Decidua
AC004791.2	28190	Granulocyte	haematopoietic	95.79359673024524	0.2231749923331782	0.12062008649769793	0.18306008232077464	False	VT2018	Decidua
GATA1	2606	Granulocyte	haematopoietic	74.50613079019074	0.22655643161095362	0.06892576371297024	0.32520900988046714	False	VT2018	Decidua
TPSG1	4489	Granulocyte	haematopoietic	59.60490463215259	0.1386390103887925	0.06892576371297024	0.1990084985835694	False	VT2018	Decidua
IL23R	10552	ILC3	haematopoietic	119.23259392390702	0.6458549020551066	0.4135545822778214	0.15451472857504783	False	VT2018	Decidua
FTL	1704	Myeloid	haematopoietic	32433.966614245845	4859.182345191733	1795.4127560773052	0.26777291759280797	False	VT2018	Decidua
SPP1	4788	Myeloid	haematopoietic	6289.908146498194	622.7292388344005	249.90758778230185	0.246540104285564	False	VT2018	Decidua
CCL3	30209	Myeloid	haematopoietic	5793.876244233369	974.3448206946005	2241.5519931504336	0.043006254877898865	False	VT2018	Decidua
C1QA	13165	Myeloid	haematopoietic	3962.3496077257355	386.97867382717544	174.64065380773832	0.2192347753609285	False	VT2018	Decidua
C1QB	13164	Myeloid	haematopoietic	3434.191184923717	330.204308353326	132.8888724386066	0.24584528265968428	False	VT2018	Decidua
CXCL8	12318	Myeloid	haematopoietic	3416.0412756496407	447.1412414573558	106.62815646396496	0.41489728036482443	False	VT2018	Decidua
C1QC	10110	Myeloid	haematopoietic	2983.632482683963	278.98902905213936	85.12331818551824	0.3242696787624366	False	VT2018	Decidua
CCL3L3	29984	Myeloid	haematopoietic	1983.5764187559664	202.19654305385944	128.59824364747422	0.1555630499903997	False	VT2018	Decidua
CXCL2	1506	Myeloid	haematopoietic	1736.6825335981987	211.48535674990853	41.83793857377293	0.5001241020176069	False	VT2018	Decidua
CD14	12536	Myeloid	haematopoietic	1553.4117577395782	151.33969631611703	61.75748428682134	0.24245493147338396	False	VT2018	Decidua
S100A9	10730	Myeloid	haematopoietic	1291.6751051277392	122.63127684780363	34.10102159699202	0.35579645840504465	False	VT2018	Decidua
IL1B	5582	Myeloid	haematopoietic	1267.1077658934148	136.54589947584952	38.0987158923443	0.35459783924294785	False	VT2018	Decidua
REN	8322	Perivascular	non_haematopoietic	8737.58588481002	439.73927087830543	3.4462881856485117	1.0	True	VT2018	Decidua
RGS5	8197	Perivascular	non_haematopoietic	3778.33543810964	190.61173208820082	1.0855807784792812	1.0	True	VT2018	Decidua
NDUFA4L2	15327	Perivascular	non_haematopoietic	1152.297277521531	59.905578245069464	0.5341746687755193	1.0	True	VT2018	Decidua
PTP4A3	15086	Perivascular	non_haematopoietic	417.1251104330058	23.490858662705893	0.34462881856485117	1.0	True	VT2018	Decidua
NOTCH3	1242	Perivascular	non_haematopoietic	206.8281472729145	15.142085085878362	0.31016593670836606	1.0	True	VT2018	Decidua
GJA4	15694	Perivascular	non_haematopoietic	205.67187531052227	10.867945838770224	0.08615720464121279	1.0	True	VT2018	Decidua
HIGD1B	6285	Perivascular	non_haematopoietic	194.75955866544535	10.184895104659587	0.24124017299539585	1.0	True	VT2018	Decidua
FRZB	10669	Perivascular	non_haematopoietic	186.08751894750344	9.85013261615982	0.03446288185648512	1.0	True	VT2018	Decidua
PI15	7352	Perivascular	non_haematopoietic	142.6550533601444	7.381681943383757	0.03446288185648512	1.0	True	VT2018	Decidua
SEPT4	3477	Perivascular	non_haematopoietic	129.430192790283	6.935331958717401	0.17231440928242558	1.0	True	VT2018	Decidua
COX4I2	6275	Perivascular	non_haematopoietic	126.90084787254992	6.732445602050875	0.13785152742594048	1.0	True	VT2018	Decidua
FHL5	3970	Perivascular	non_haematopoietic	101.24606370697177	5.237849441274136	0.01723144092824256	1.0	True	VT2018	Decidua
IGKC	17641	Plasma	haematopoietic	10428.213024401271	22.922776864039623	19.781694185622456	0.11464932539287988	False	VT2018	Decidua
JCHAIN	6467	Plasma	haematopoietic	2504.4392887480217	4.551417267885725	0.9304978101250982	0.48394839944622303	False	VT2018	Decidua
IGHG1	17830	Plasma	haematopoietic	1701.087159316141	2.9891923215534777	0.4652489050625491	0.6356766494954846	False	VT2018	Decidua
IGHG2	17828	Plasma	haematopoietic	1314.7757528133786	2.224987044776231	0.32739737763660864	0.672388149257965	False	VT2018	Decidua
IGHG3	17831	Plasma	haematopoietic	961.3886139102835	1.599420778387777	0.2929344957801235	0.5402067135152272	False	VT2018	Decidua
IGLC2	17673	Plasma	haematopoietic	713.3591313261237	1.2917098041102133	0.7926462826991577	0.16123276025222383	False	VT2018	Decidua
IGLC3	17675	Plasma	haematopoietic	708.9692289795013	1.3593385896657217	1.0338864556945535	0.13008360395218688	False	VT2018	Decidua
CD79A	3052	Plasma	haematopoietic	621.1711820470554	2.1066366700540913	1.9988471476761367	0.10427442776918736	False	VT2018	Decidua
IGHM	17833	Plasma	haematopoietic	406.06596706256266	0.8216897444994288	0.6031004324884895	0.13479878789075225	False	VT2018	Decidua
IGHG4	17827	Plasma	haematopoietic	370.9467482895843	0.7472980803883694	0.06892576371297024	1.0	True	VT2018	Decidua
TCL1A	2350	Plasma	haematopoietic	344.60733420985053	0.6830507341106362	0.32739737763660864	0.2064170306232658	False	VT2018	Decidua
VPREB3	5889	Plasma	haematopoietic	311.68306661018323	0.7405352018328185	0.2067772911389107	0.3543322047951359	False	VT2018	Decidua
APOD	16041	Stromal	non_haematopoietic	3310.639596900097	1946.4105513159802	25.65761554215317	1.0	True	VT2018	Decidua
CFD	16604	Stromal	non_haematopoietic	3180.4776679849706	1902.4146448728443	31.343991048473214	1.0	True	VT2018	Decidua
DKK1	3438	Stromal	non_haematopoietic	2311.656520132209	1349.3870138712286	12.923580696181919	1.0	True	VT2018	Decidua
TWIST2	21084	Stromal	non_haematopoietic	402.68367744768005	237.86734599511243	1.9988471476761367	1.0	True	VT2018	Decidua
FBLN2	10815	Stromal	non_haematopoietic	233.60523015368105	138.2535263111261	1.171737983120494	1.0	True	VT2018	Decidua
GAS1	14348	Stromal	non_haematopoietic	207.18727547170434	121.98204050647077	1.878227061178439	1.0	True	VT2018	Decidua
