dataset_id	compartment	subset	gene	detection_rate	n_cells
VT2018	Placenta	Stromal	ENTPD1	0.007867132867132868	2288
VT2018	Placenta	Stromal	ITGAE	0.2215909090909091	2288
VT2018	Placenta	Stromal	ITGB2	0.055944055944055944	2288
VT2018	Placenta	Stromal	CD160	0.0008741258741258741	2288
VT2018	Placenta	Stromal	KLRB1	0.0026223776223776225	2288
VT2018	Placenta	Stromal	ITGA1	0.6368006993006993	2288
VT2018	Placenta	Stromal	CD9	0.6424825174825175	2288
VT2018	Placenta	Stromal	EOMES	0.0	2288
VT2018	Placenta	Stromal	TBX21	0.00043706293706293706	2288
VT2018	Placenta	Stromal	MKI67	0.09047202797202797	2288
VT2018	Placenta	T	ENTPD1	0.25	4
VT2018	Placenta	T	ITGAE	0.5	4
VT2018	Placenta	T	ITGB2	0.5	4
VT2018	Placenta	T	CD160	0.0	4
VT2018	Placenta	T	KLRB1	0.5	4
VT2018	Placenta	T	ITGA1	0.0	4
VT2018	Placenta	T	CD9	0.5	4
VT2018	Placenta	T	EOMES	0.0	4
VT2018	Placenta	T	TBX21	0.25	4
VT2018	Placenta	T	MKI67	0.5	4
VT2018	Placenta	Trophoblast	ENTPD1	0.021122160121942367	13777
VT2018	Placenta	Trophoblast	ITGAE	0.3858604921245554	13777
VT2018	Placenta	Trophoblast	ITGB2	0.06017275168759527	13777
VT2018	Placenta	Trophoblast	CD160	0.0010887711403063077	13777
VT2018	Placenta	Trophoblast	KLRB1	0.002613050736735138	13777
VT2018	Placenta	Trophoblast	ITGA1	0.0644552515061334	13777
VT2018	Placenta	Trophoblast	CD9	0.30129926689409886	13777
VT2018	Placenta	Trophoblast	EOMES	0.0005080931988096102	13777
VT2018	Placenta	Trophoblast	TBX21	0.0002903389707483487	13777
VT2018	Placenta	Trophoblast	MKI67	0.2619583363576976	13777
VT2018	Placenta	cDC1	ENTPD1	1.0	1
VT2018	Placenta	cDC1	ITGAE	1.0	1
VT2018	Placenta	cDC1	ITGB2	1.0	1
VT2018	Placenta	cDC1	CD160	0.0	1
VT2018	Placenta	cDC1	KLRB1	0.0	1
VT2018	Placenta	cDC1	ITGA1	0.0	1
VT2018	Placenta	cDC1	CD9	0.0	1
VT2018	Placenta	cDC1	EOMES	0.0	1
VT2018	Placenta	cDC1	TBX21	0.0	1
VT2018	Placenta	cDC1	MKI67	1.0	1
VT2018	Placenta	dNK1	ENTPD1	0.8	5
VT2018	Placenta	dNK1	ITGAE	0.4	5
VT2018	Placenta	dNK1	ITGB2	0.0	5
VT2018	Placenta	dNK1	CD160	0.0	5
VT2018	Placenta	dNK1	KLRB1	0.6	5
VT2018	Placenta	dNK1	ITGA1	0.4	5
VT2018	Placenta	dNK1	CD9	0.2	5
VT2018	Placenta	dNK1	EOMES	1.0	5
VT2018	Placenta	dNK1	TBX21	0.0	5
VT2018	Placenta	dNK1	MKI67	0.0	5
VT2018	Placenta	dNK2	ENTPD1	0.0	2
VT2018	Placenta	dNK2	ITGAE	1.0	2
VT2018	Placenta	dNK2	ITGB2	0.0	2
VT2018	Placenta	dNK2	CD160	0.0	2
VT2018	Placenta	dNK2	KLRB1	0.5	2
VT2018	Placenta	dNK2	ITGA1	0.5	2
VT2018	Placenta	dNK2	CD9	1.0	2
VT2018	Placenta	dNK2	EOMES	0.5	2
VT2018	Placenta	dNK2	TBX21	0.0	2
VT2018	Placenta	dNK2	MKI67	0.0	2
VT2018	Placenta	dNKp	ENTPD1	1.0	1
VT2018	Placenta	dNKp	ITGAE	0.0	1
VT2018	Placenta	dNKp	ITGB2	0.0	1
VT2018	Placenta	dNKp	CD160	0.0	1
VT2018	Placenta	dNKp	KLRB1	1.0	1
VT2018	Placenta	dNKp	ITGA1	0.0	1
VT2018	Placenta	dNKp	CD9	1.0	1
VT2018	Placenta	dNKp	EOMES	1.0	1
VT2018	Placenta	dNKp	TBX21	0.0	1
VT2018	Placenta	dNKp	MKI67	0.0	1
VT2018	Placenta	pbNK_CD56dim	ENTPD1	0.0	2
VT2018	Placenta	pbNK_CD56dim	ITGAE	0.0	2
VT2018	Placenta	pbNK_CD56dim	ITGB2	1.0	2
VT2018	Placenta	pbNK_CD56dim	CD160	0.0	2
VT2018	Placenta	pbNK_CD56dim	KLRB1	1.0	2
VT2018	Placenta	pbNK_CD56dim	ITGA1	0.5	2
VT2018	Placenta	pbNK_CD56dim	CD9	0.0	2
VT2018	Placenta	pbNK_CD56dim	EOMES	0.0	2
VT2018	Placenta	pbNK_CD56dim	TBX21	1.0	2
VT2018	Placenta	pbNK_CD56dim	MKI67	0.0	2
