区室,队列,细胞类型,供体,状态,核数,值
灰质,Schirmer 2019,neuron,C2,Control,910,1.0498416423797607
灰质,Schirmer 2019,neuron,C3,Control,1491,1.0672167539596558
灰质,Schirmer 2019,neuron,C4,Control,1563,0.5375558137893677
灰质,Schirmer 2019,neuron,C5,Control,1833,0.7109375
灰质,Schirmer 2019,neuron,C6,Control,1468,0.3163142502307892
灰质,Schirmer 2019,neuron,C7,Control,1192,0.296257883310318
灰质,Schirmer 2019,neuron,C8,Control,1220,1.4170937538146973
灰质,Schirmer 2019,neuron,C9,Control,290,0.17299246788024902
灰质,Schirmer 2019,neuron,MS1,MS,583,1.7395567893981934
灰质,Schirmer 2019,neuron,MS10,MS,1088,1.5223698616027832
灰质,Schirmer 2019,neuron,MS11,MS,418,0.9183803200721741
灰质,Schirmer 2019,neuron,MS12,MS,2165,0.747279942035675
灰质,Schirmer 2019,neuron,MS2,MS,498,0.7687047719955444
灰质,Schirmer 2019,neuron,MS3,MS,683,2.810199022293091
灰质,Schirmer 2019,neuron,MS4,MS,809,0.2890563905239105
灰质,Schirmer 2019,neuron,MS5,MS,1647,1.1363939046859741
灰质,Schirmer 2019,neuron,MS6,MS,1271,0.6248237490653992
灰质,Schirmer 2019,neuron,MS7,MS,1089,1.434010624885559
灰质,Schirmer 2019,neuron,MS8,MS,541,2.5066027641296387
灰质,Schirmer 2019,neuron,MS9,MS,1914,0.741169273853302
灰质,Schirmer 2019,oligodendrocyte,C1,Control,1196,4.155478477478027
灰质,Schirmer 2019,oligodendrocyte,C2,Control,114,6.197467803955078
灰质,Schirmer 2019,oligodendrocyte,C3,Control,822,2.6081130504608154
灰质,Schirmer 2019,oligodendrocyte,C4,Control,670,3.3136658668518066
灰质,Schirmer 2019,oligodendrocyte,C5,Control,143,0.0
灰质,Schirmer 2019,oligodendrocyte,C8,Control,44,14.659570693969727
灰质,Schirmer 2019,oligodendrocyte,C9,Control,53,0.0
灰质,Schirmer 2019,oligodendrocyte,MS1,MS,1500,4.590365886688232
灰质,Schirmer 2019,oligodendrocyte,MS10,MS,34,12.466861724853516
灰质,Schirmer 2019,oligodendrocyte,MS11,MS,43,0.0
灰质,Schirmer 2019,oligodendrocyte,MS12,MS,367,8.073771476745605
灰质,Schirmer 2019,oligodendrocyte,MS2,MS,1026,6.287997245788574
灰质,Schirmer 2019,oligodendrocyte,MS3,MS,960,3.4656729698181152
灰质,Schirmer 2019,oligodendrocyte,MS4,MS,1368,3.4660468101501465
灰质,Schirmer 2019,oligodendrocyte,MS5,MS,912,2.5728394985198975
灰质,Schirmer 2019,oligodendrocyte,MS6,MS,1305,6.6053009033203125
灰质,Schirmer 2019,oligodendrocyte,MS7,MS,862,9.849796295166016
灰质,Schirmer 2019,oligodendrocyte,MS8,MS,333,5.720340251922607
灰质,Schirmer 2019,oligodendrocyte,MS9,MS,614,0.7029311060905457
灰质,Schirmer 2019,stromal,MS10,MS,22,18.148296356201172
