suspension,cell_type,n,pos,umi,tot,donors,datasets,pct_pos,CP10k
nucleus,L5/6 near-projecting glutamatergic neuron of the primary motor cortex,1215,13,13.0,16433403.0,4,1,1.0699588477366255,0.007910716970794181
nucleus,chandelier pvalb GABAergic cortical interneuron,22510,645,764.0,398553827.0,52,9,2.8653931585961794,0.019169305329490665
nucleus,B cell,321,34,41.0,922696.0,84,4,10.59190031152648,0.44435003511449056
nucleus,myeloid cell,81,13,19.0,162354.0,4,1,16.049382716049383,1.1702822227970977
nucleus,cortical interneuron,16416,133,142.0,100439463.0,12,1,0.8101851851851852,0.014137869295458102
cell,VIP GABAergic cortical interneuron,28718,196,215.0,346942841.0,78,1,0.6824987812521763,0.006196986206151462
nucleus,corticothalamic-projecting glutamatergic cortical neuron,61150,3029,4083.0,1945957513.0,75,9,4.953393295175797,0.02098195861278293
nucleus,astrocyte of the cerebral cortex,96271,5413,6908.0,919756946.0,48,8,5.622669339676538,0.07510679892163598
nucleus,cerebral cortex endothelial cell,2979,732,1199.0,19603215.0,48,8,24.57200402819738,0.6116343671178427
nucleus,L2/3-6 intratelencephalic projecting glutamatergic neuron,1327883,57532,113590.0,49007173655.0,479,12,4.3326106290991,0.02317823933280651
nucleus,intratelencephalic-projecting glutamatergic cortical neuron,14400,34,38.0,99729978.0,27,1,0.2361111111111111,0.003810288617530829
nucleus,forebrain radial glial cell,16662,209,241.0,96903126.0,27,1,1.2543512183411356,0.024870198717841158
nucleus,medial ganglionic eminence derived GABAergic cortical interneuron,4213,8,11.0,17449406.0,25,1,0.18988844054118206,0.006303939515190374
nucleus,L5 intratelencephalic projecting glutamatergic neuron,9638,86,89.0,111596778.0,24,1,0.8923013073251712,0.007975140644293511
nucleus,L4 intratelencephalic projecting glutamatergic neuron,20288,169,185.0,219218915.0,27,1,0.8330047318611987,0.00843905280709924
nucleus,Cajal-Retzius cell,865,4,4.0,5140075.0,26,1,0.4624277456647399,0.007781987616912204
nucleus,endothelial cell of vascular tree,18342,610,716.0,21927167.0,20,2,3.325700577908625,0.32653557114788245
nucleus,neural cell,518980,2151,2330.0,2647247991.0,103,1,0.414466838799183,0.00880159323161802
nucleus,L6b glutamatergic neuron of the primary motor cortex,12895,260,298.0,437999455.0,393,3,2.016285381930981,0.006803661433779638
nucleus,natural killer cell,1170,100,115.0,3788257.0,283,3,8.547008547008547,0.3035696891736754
nucleus,L5/6 near-projecting glutamatergic neuron,10961,130,139.0,289490714.0,395,3,1.1860231730681507,0.004801535706599556
nucleus,blood vessel endothelial cell,40,0,0.0,50710.0,8,1,0.0,0.0
cell,cerebral cortex GABAergic interneuron,76218,36,41.0,185632174.0,12,2,0.04723293710147209,0.0022086688485369998
cell,blood vessel endothelial cell,3195,239,339.0,27573402.0,12,1,7.480438184663536,0.12294456810226029
cell,neural crest cell,2200,30,40.0,15951123.0,16,2,1.3636363636363635,0.025076604324347572
cell,neuroblast (sensu Nematoda and Protostomia),97353,461,566.0,817742211.0,26,1,0.4735344570788779,0.0069214966817947475
cell,neuroplacodal cell,2485,1,1.0,14675652.0,9,2,0.04024144869215292,0.0006814007309521921
cell,cell,11150,735,991.0,155983537.0,26,1,6.591928251121076,0.06353234572440808
nucleus,hippocampal granule cell,34220,120,124.0,337073024.0,9,1,0.3506721215663355,0.0036787280847487814
nucleus,hippocampal interneuron,9976,69,77.0,99287748.0,9,1,0.6916599839615076,0.007755236829422297
nucleus,hippocampal astrocyte,27092,852,985.0,69205229.0,9,1,3.144839805108519,0.14233028547597176
nucleus,smooth muscle cell of the brain vasculature,677,64,91.0,2138479.0,9,1,9.453471196454949,0.4255360936441274
nucleus,hippocampal pyramidal neuron,12345,109,118.0,269631872.0,9,1,0.8829485621709194,0.004376337230637185
nucleus,plasma cell,74,13,18.0,284432.0,14,2,17.56756756756757,0.6328401867581707
nucleus,stellate neuron,60284,15,16.0,57020712.0,5,1,0.024882224139075045,0.002805997932821323
nucleus,neuron associated cell (sensu Vertebrata),63657,5,5.0,52722353.0,5,1,0.007854595723958089,0.0009483643493680944
nucleus,megakaryocyte,36,0,0.0,69189.0,5,1,0.0,0.0
cell,neural cell,12071,125,170.0,68036674.0,7,1,1.035539723303786,0.02498652417959173
cell,cerebral cortex pyramidal neuron,156367,179,191.0,658609522.0,10,1,0.11447428165789457,0.0029000491735981914
cell,mature astrocyte,1309,40,683.0,41861100.0,5,1,3.0557677616501144,0.16315863653845694
cell,cerebral cortex neuron,85869,374,589.0,1012030082.0,13,1,0.43554717069023746,0.0058199851019843495
cell,medial ganglionic eminence derived GABAergic cortical interneuron,6404,25,28.0,44873714.0,4,1,0.3903810118675828,0.006239733131962288
cell,neural stem cell,10227,12,17.0,285998553.0,4,1,0.11733646230566148,0.0005944086017805831
cell,pluripotent stem cell,2942,10,25.0,122827830.0,5,1,0.3399048266485384,0.0020353693458559025
cell,neuron of the forebrain,666,7,7.0,14255636.0,4,1,1.0510510510510511,0.004910338619757126
cell,retinal progenitor cell,5149,40,45.0,37488576.0,4,1,0.7768498737618955,0.012003656794005725
cell,central nervous system neuron,25593,2,2.0,134185604.0,1,1,0.007814636814754035,0.00014904728528106488
cell,midbrain dopaminergic neuron,9143,9,9.0,53023075.0,2,1,0.09843596193809472,0.0016973742092475776
cell,neural crest derived neuron,419,0,0.0,2743729.0,1,1,0.0,0.0
cell,neuroepithelial stem cell,4308,10,10.0,63154457.0,3,1,0.23212627669452182,0.0015834195201773328
cell,stem cell,78,0,0.0,1250905.0,2,1,0.0,0.0
cell,neurectodermal cell,779,3,3.0,12038360.0,2,1,0.3851091142490372,0.002492033798623733
cell,cerebellum glutamatergic neuron,923,0,0.0,4455479.0,7,1,0.0,0.0
cell,pyramidal neuron,112685,110,117.0,497753727.0,8,1,0.09761725163065181,0.002350559998920912
cell,extratelencephalic-projecting glutamatergic cortical neuron,70109,214,221.0,358922621.0,5,1,0.30523898500905733,0.0061573160082323145
nucleus,cerebral cortex pyramidal neuron,9133,34,38.0,48356104.0,2,1,0.37227636045111134,0.00785836675345061
cell,cerebellar granule cell,2515,5,5.0,15388982.0,1,1,0.1988071570576541,0.003249077814243983
cell,cerebellar neuron,1209,0,0.0,5305261.0,1,1,0.0,0.0
nucleus,midbrain dopaminergic neuron,10617,24,28.0,83331152.0,1,1,0.22605255721955356,0.003360087953662275
nucleus,neural crest cell,4074,28,31.0,33001486.0,1,1,0.6872852233676976,0.009393516401049335
nucleus,mesenchymal cell,4873,156,173.0,35094135.0,1,1,3.201313359326903,0.04929598635213548
cell,premigratory neural crest cell,322,2,2.0,1926725.0,1,1,0.6211180124223602,0.010380308554671787
cell,extracellular matrix secreting cell,1971,60,68.0,9417723.0,2,1,3.0441400304414,0.07220428972056196
cell,pigmented epithelial cell,126,1,1.0,546245.0,2,1,0.7936507936507936,0.018306803723603878
cell,hypothalamus cell,1282,2,2.0,3666268.0,1,1,0.15600624024961,0.005455138576885269
cell,eye photoreceptor cell,1797,2,2.0,4964449.0,1,1,0.11129660545353366,0.004028644467895632
cell,mesodermal cell,494,0,0.0,2310990.0,1,1,0.0,0.0
cell,Mueller cell,1238,11,12.0,5006491.0,1,1,0.8885298869143781,0.02396888359531656
cell,amacrine cell,586,0,0.0,1034577.0,1,1,0.0,0.0
cell,medium spiny neuron,12,0,0.0,94430.0,1,1,0.0,0.0
cell,ciliated cell,188,7,9.0,3124210.0,1,1,3.723404255319149,0.0288072824810112
cell,immature astrocyte,397,13,1708.0,173008109.0,1,1,3.27455919395466,0.09872369624015716
nucleus,central nervous system neuron,3968,81,93.0,96822213.0,22,1,2.0413306451612905,0.009605233873346811
