dataset,grp,n,umi,tot,CP10k
f9034091-2e8f-4ac6-9874-e7b7eb566824,neuron,13984,75.0,283221257.0,0.0026481063178107425
f3565fda-499a-4d20-bd92-563c09954c42,neuron,15507,38.0,272245340.0,0.0013957998326068685
f3565fda-499a-4d20-bd92-563c09954c42,oligodendrocyte,4954,104.0,24670819.0,0.042155065869519774
f3565fda-499a-4d20-bd92-563c09954c42,OPC,1161,53.0,5693755.0,0.09308444076009594
f3565fda-499a-4d20-bd92-563c09954c42,astrocyte,1505,62.0,6272186.0,0.09884910938546784
f3565fda-499a-4d20-bd92-563c09954c42,mural,35,2.0,112636.0,0.17756312369047197
f3565fda-499a-4d20-bd92-563c09954c42,endothelial,32,10.0,83226.0,1.2015475933001707
f3565fda-499a-4d20-bd92-563c09954c42,microglia,761,73.0,2027616.0,0.3600287233874659
6c600df6-ddca-4628-a8bb-1d6de1e3f9b4,oligodendrocyte,3048,4.0,2422247.0,0.016513592544443238
6c600df6-ddca-4628-a8bb-1d6de1e3f9b4,OPC,901,3.0,820370.0,0.03656886526811073
6c600df6-ddca-4628-a8bb-1d6de1e3f9b4,neuron,6041,43.0,30213190.0,0.014232194614338969
6c600df6-ddca-4628-a8bb-1d6de1e3f9b4,endothelial,137,1.0,64376.0,0.15533739281719897
bac09168-940b-4b11-8d55-b4955f80b98d,neuron,11268,93.0,550570288.0,0.0016891576248662368
bac09168-940b-4b11-8d55-b4955f80b98d,oligodendrocyte,456,6.0,2317712.0,0.02588759949467406
bac09168-940b-4b11-8d55-b4955f80b98d,OPC,118,9.0,837904.0,0.10741087284462182
bac09168-940b-4b11-8d55-b4955f80b98d,astrocyte,164,5.0,1230885.0,0.040621179070343696
bac09168-940b-4b11-8d55-b4955f80b98d,mural,6,0.0,18557.0,0.0
bac09168-940b-4b11-8d55-b4955f80b98d,endothelial,7,1.0,27195.0,0.36771465342893916
bac09168-940b-4b11-8d55-b4955f80b98d,microglia,423,33.0,1322757.0,0.24947892923643572
d7cff847-6403-44a6-ad8a-2f5a783639dd,oligodendrocyte,6134,214.0,41393059.0,0.051699489037521966
d7cff847-6403-44a6-ad8a-2f5a783639dd,microglia,429,83.0,2383170.0,0.3482756160911727
d7cff847-6403-44a6-ad8a-2f5a783639dd,astrocyte,1099,136.0,12492177.0,0.10886813403300322
d7cff847-6403-44a6-ad8a-2f5a783639dd,OPC,669,58.0,7870845.0,0.07368967372626446
7cd3c321-e487-4b51-a8af-9bf671b59fe5,microglia,275,17.0,490536.0,0.3465596816543536
7cd3c321-e487-4b51-a8af-9bf671b59fe5,astrocyte,1204,15.0,2790366.0,0.05375638894682633
7cd3c321-e487-4b51-a8af-9bf671b59fe5,mural,54,0.0,112953.0,0.0
7cd3c321-e487-4b51-a8af-9bf671b59fe5,endothelial,57,28.0,120590.0,2.321917240235509
7cd3c321-e487-4b51-a8af-9bf671b59fe5,neuron,17996,145.0,300372989.0,0.004827331528135507
7cd3c321-e487-4b51-a8af-9bf671b59fe5,OPC,1107,37.0,3264846.0,0.11332846939794404
7cd3c321-e487-4b51-a8af-9bf671b59fe5,oligodendrocyte,5123,71.0,17382425.0,0.04084585436151745
