dataset_id	comparison_id	gene	observed_diff_pp	null_mean_diff_pp	null_sd_diff_pp	n_null_genes	null_set_is_expression_matched	empirical_p	empirical_p_resolution_floor	empirical_p_at_resolution_floor	empirical_z	q_bh_empirical	q_bh_empirical_per_comparison
VT2018	A_decidua_dNK1_vs_dNK2	XCR1	0.0134357833519899	0.3162821240482457	3.1100118902110223	399	False	0.685	0.0025	False	-0.09737787229993737		
VT2018	A_decidua_dNK1_vs_dNK2	PTN	0.7302125233699416	0.3162821240482457	3.1100118902110223	399	False	0.525	0.0025	False	0.13309608256629837		
VT2018	A_decidua_dNK1_vs_dNK2	OGN	-0.1505778859704066	0.3162821240482457	3.1100118902110223	399	False	0.4925	0.0025	False	-0.15011518492521733		
VT2018	A_decidua_dNK1_vs_dNK2	SPP1	-1.7486854591996293	0.3162821240482457	3.1100118902110223	399	False	0.1625	0.0025	False	-0.6639741763520273		
VT2018	A_decidua_dNK1_vs_dNK2	VEGFA	-0.3284798157529351	0.3162821240482457	3.1100118902110223	399	False	0.4	0.0025	False	-0.2073181590818394		
VT2018	A_decidua_dNK1_vs_dNK2	PGF	-0.0284930820673966	0.3162821240482457	3.1100118902110223	399	False	0.6	0.0025	False	-0.11085977105130887		
VT2018	A_decidua_dNK1_vs_dNK2	IGF2	0.8828881675965333	0.3162821240482457	3.1100118902110223	399	False	0.4375	0.0025	False	0.18218774189633144		
VT2018	A_decidua_dNK1_vs_dNK2	ITGAD	-6.613946081805807	0.3162821240482457	3.1100118902110223	399	False	0.05	0.0025	False	-2.2283606785129746		
VT2018	A_decidua_dNK1_vs_dNK2	ANGPT2	-0.11495139401297	0.3162821240482457	3.1100118902110223	399	False	0.51	0.0025	False	-0.13865976506988703		
VT2018	A_decidua_dNK1_vs_dNK2	ANG	0.0564724202680633	0.3162821240482457	3.1100118902110223	399	False	0.7625	0.0025	False	-0.08353977828764944		
VT2018	A_decidua_dNK1_vs_dNK2	IL10	-0.9214852954480386	0.3162821240482457	3.1100118902110223	399	False	0.2875	0.0025	False	-0.3979944332020861		
VT2018	A_decidua_dNK1_vs_dNK3	CCL2	0.0084068469528479	0.3706982518624266	5.140253258264697	399	False	0.75	0.0025	False	-0.07048123637236602	0.8951086956521739	0.8234999999999999
VT2018	A_decidua_dNK1_vs_dNK3	CCL3	8.789999416142852	0.3706982518624266	5.140253258264697	399	False	0.0725	0.0025	False	1.6379156320252408	0.39149999999999996	0.32625
VT2018	A_decidua_dNK1_vs_dNK3	CCL4	2.921659067255247	0.3706982518624266	5.140253258264697	399	False	0.2325	0.0025	False	0.4962714261775502	0.588515625	0.54
VT2018	A_decidua_dNK1_vs_dNK3	CCL5	57.284618046325406	0.3706982518624266	5.140253258264697	399	False	0.0025	0.0025	True	11.07220149181455	0.03375	0.03375
VT2018	A_decidua_dNK1_vs_dNK3	CCL20	-2.651833260232938	0.3706982518624266	5.140253258264697	399	False	0.2125	0.0025	False	-0.5880121776559593	0.57375	0.54
VT2018	A_decidua_dNK1_vs_dNK3	XCL1	31.21552248717916	0.3706982518624266	5.140253258264697	399	False	0.005	0.0025	False	6.00064290328949	0.050625	0.045000000000000005
VT2018	A_decidua_dNK1_vs_dNK3	XCL2	22.95276109997729	0.3706982518624266	5.140253258264697	399	False	0.0175	0.0025	False	4.393180980296361	0.15750000000000003	0.11812500000000001
VT2018	A_decidua_dNK1_vs_dNK3	CXCL8	-2.2758311552228263	0.3706982518624266	5.140253258264697	399	False	0.23	0.0025	False	-0.5148636213264514	0.588515625	0.54
VT2018	A_decidua_dNK1_vs_dNK3	CXCL10	-0.244101709713624	0.3706982518624266	5.140253258264697	399	False	0.5275	0.0025	False	-0.11960499428458152	0.7629910714285714	0.712125
VT2018	A_decidua_dNK1_vs_dNK3	CXCL12	0.1785489846576639	0.3706982518624266	5.140253258264697	399	False	0.8675	0.0025	False	-0.03738128406335189	0.9625684931506849	0.9008653846153847
VT2018	A_decidua_dNK1_vs_dNK3	CXCL16	-0.8054188082006719	0.3706982518624266	5.140253258264697	399	False	0.37	0.0025	False	-0.22880527494867928	0.7016860465116279	0.5916176470588235
VT2018	A_decidua_dNK1_vs_dNK3	CCL1	-0.124223602484472	0.3706982518624266	5.140253258264697	399	False	0.5875	0.0025	False	-0.0962835544243164	0.800357142857143	0.7553571428571428
VT2018	A_decidua_dNK1_vs_dNK3	CCL3L1	6.971870349478391	0.3706982518624266	5.140253258264697	399	False	0.095	0.0025	False	1.2842114514498573	0.405	0.36642857142857144
