dataset,comparison,group,gene,role,symbol_used,present,unit,ortholog_note,n,log2FC,ci_lo,ci_hi,p,test,note,mean_log2,linear_cpm,pct_all_genes,pct_expressed_genes,below_1_cpm,near_floor,q_BH,max_effect_still_compatible,informative_null
GSE140035 (human),IL2IL15 vs UNSTIM,2,TMEM63A,channel,TMEM63A,True,log2(CPM+1) from deposited raw counts,,6.0,-0.5204373892522924,-0.7631940210671939,-0.27768075743739096,0.0026914168279665368,paired_t,,5.97571950039557,61.93189585631693,86.1468917513401,83.91546679052485,False,False,0.010765667311866145,0.7631940210671939,False
GSE140035 (human),IL2IL15 vs UNSTIM,2,TMEM63B,channel,TMEM63B,True,log2(CPM+1) from deposited raw counts,,6.0,-0.15290868007568115,-0.6088011677278812,0.3029838075765189,0.427990772402185,paired_t,,4.346262424868982,19.34020655682324,72.30578446275702,67.84486762656758,False,False,0.5567417796294035,0.6088011677278812,False
GSE140035 (human),IL2IL15 vs UNSTIM,2,KCNK2,channel,KCNK2,True,log2(CPM+1) from deposited raw counts,,6.0,-0.08756747037088693,-0.22600009059535764,0.05086514985358377,0.16486589217442815,paired_t,,0.30836983948449975,0.2383076942870015,38.131050484038724,28.165350673478866,True,True,0.3420682656296438,0.22600009059535764,True
GSE140035 (human),IL2IL15 vs UNSTIM,2,KCNK4,channel,KCNK4,True,log2(CPM+1) from deposited raw counts,,6.0,0.04605660692185199,-0.010706576421775284,0.10281979026547927,0.09139496986808938,paired_t,,0.05683480731202802,0.04018115600023808,27.046163693095448,15.294937296795169,True,True,0.24371991964823836,0.10281979026547927,True
GSE140035 (human),IL2IL15 vs UNSTIM,2,YAP1,mechano_downstream,YAP1,True,log2(CPM+1) from deposited raw counts,,6.0,0.14258913486315128,-0.08724343035743698,0.37242170008373954,0.17164106729535888,paired_t,,0.14374884145007608,0.10477213845197308,32.46259700776062,21.583836507199255,True,True,0.3420682656296438,0.37242170008373954,True
GSE140035 (human),IL2IL15 vs UNSTIM,2,WWTR1,mechano_downstream,WWTR1,True,log2(CPM+1) from deposited raw counts,,6.0,-0.043782539713532576,-0.38223511101088525,0.2946700315838201,0.7529756156381358,paired_t,,0.8988381617117088,0.8645637985638448,48.567885430834465,40.28332559219693,True,True,0.8214279443325118,0.38223511101088525,True
GSE140035 (human),IL2IL15 vs UNSTIM,2,ANKRD1,mechano_downstream,ANKRD1,True,log2(CPM+1) from deposited raw counts,,6.0,0.019515392728695565,-0.013158155973697929,0.052188941431089056,0.18528697721605705,paired_t,,0.019003376392835822,0.01325927152465134,22.013761100888072,9.451927542963306,True,True,0.3420682656296438,0.052188941431089056,True
GSE140035 (human),IL2IL15 vs UNSTIM,2,CCN2,mechano_downstream,CTGF,True,log2(CPM+1) from deposited raw counts,,6.0,0.05148149123936157,-0.055168572379513996,0.15813155485823713,0.26970270511055133,paired_t,,0.13119776446977086,0.09520259074892001,31.910552844227535,20.94287041337668,True,True,0.4623474944752308,0.15813155485823713,True
GSE140035 (human),IL2IL15 vs UNSTIM,2,IFNG,state_activation,IFNG,True,log2(CPM+1) from deposited raw counts,,6.0,3.230877667207089,2.349269208314372,4.112486126099806,0.00022744178617037687,paired_t,,6.001573405662682,63.069836583760164,86.42291383310665,84.23594983743612,False,False,0.0027293014340445225,4.112486126099806,False
GSE140035 (human),IL2IL15 vs UNSTIM,2,GZMB,state_activation,GZMB,True,log2(CPM+1) from deposited raw counts,,6.0,1.5520442908854337,1.0718302257194554,2.032258356051412,0.00041270939219774724,paired_t,,12.017724008509893,4145.631153194384,99.95999679974398,99.95355318160706,False,False,0.0030035901667747663,2.032258356051412,False
GSE140035 (human),IL2IL15 vs UNSTIM,2,MKI67,state_activation,MKI67,True,log2(CPM+1) from deposited raw counts,,6.0,-0.13674031413892332,-0.5566985198990255,0.28321789162117883,0.4407539088732778,paired_t,,2.406876678873346,4.30324970167216,59.836786942955435,53.367394333488164,False,False,0.5567417796294035,0.5566985198990255,True
GSE140035 (human),IL2IL15 vs UNSTIM,2,ITGA1,state_residency,ITGA1,True,log2(CPM+1) from deposited raw counts,,6.0,-0.2824751285018795,-0.9564055304625545,0.3914552734587955,0.33049488383523523,paired_t,,2.139115911026313,3.404920284452378,58.33266661332907,51.620993961913605,False,False,0.5287918141363763,0.9564055304625545,False
GSE140035 (human),IL2IL15 vs UNSTIM,2,CD69,state_residency,CD69,True,log2(CPM+1) from deposited raw counts,,6.0,1.338154652198929,0.865286914335178,1.8110223900626798,0.0007676608551355435,paired_t,,8.994312925370068,508.9856791847082,99.12793023441876,98.9874593590339,False,False,0.003684772104650609,1.8110223900626798,False
GSE140035 (human),IL2IL15 vs UNSTIM,2,ITGAE,state_residency,ITGAE,True,log2(CPM+1) from deposited raw counts,,6.0,0.14005092239728154,-0.0778229430102384,0.35792478780480147,0.15936425283093833,paired_t,,5.671430509905112,49.96484430532291,83.60268821505721,80.96144914073385,False,False,0.3420682656296438,0.35792478780480147,True
GSE140035 (human),IL2IL15 vs UNSTIM,2,KLF2,state_egress,KLF2,True,log2(CPM+1) from deposited raw counts,,6.0,0.15208025365298097,-0.5673873155298664,0.8715478228358283,0.6102158638713329,paired_t,,2.6256370393336064,5.171567830008582,61.15289223137851,54.89549465861588,False,False,0.7322590366455994,0.8715478228358283,False
GSE140035 (human),IL2IL15 vs UNSTIM,2,S1PR1,state_egress,S1PR1,True,log2(CPM+1) from deposited raw counts,,6.0,-1.306386640510171,-1.7275472215552627,-0.8852260594650792,0.0005005983611291277,paired_t,,8.34242509432615,323.57882965652936,98.2078566285303,97.91918253599628,False,False,0.0030035901667747663,1.7275472215552627,False
GSE140035 (human),IL2IL15 vs UNSTIM,2,SELL,state_egress,SELL,True,log2(CPM+1) from deposited raw counts,,6.0,0.3223723593363094,0.06181890226433867,0.5829258164082802,0.024525083268826877,paired_t,,7.819534673018755,224.8990937858339,96.88775102008161,96.38643752902925,False,False,0.084085999778835,0.5829258164082802,True
GSE140035 (human),IL12IL18 vs UNSTIM,2,PIEZO1,channel,PIEZO1,True,log2(CPM+1) from deposited raw counts,,6.0,0.5333910203560476,-0.07350012060217981,1.1402821613142748,0.07341968687870819,paired_t,,5.927802810367328,59.876048490728934,85.70285622849828,83.39990710636322,False,False,0.17620724850889963,1.1402821613142748,False
GSE140035 (human),IL12IL18 vs UNSTIM,2,PIEZO2,channel,PIEZO2,True,log2(CPM+1) from deposited raw counts,,6.0,-0.000827638916020663,-0.19652688608359573,0.1948716082515544,0.991746526325916,paired_t,,0.17113734721989396,0.12594577314182898,33.698695895671655,23.019043195541105,True,True,0.9917465263259159,0.19652688608359573,True
GSE140035 (human),IL12IL18 vs UNSTIM,2,TRPV2,channel,TRPV2,True,log2(CPM+1) from deposited raw counts,,6.0,-1.056713003181797,-1.561102948522581,-0.5523230578410132,0.0029771459045807996,paired_t,,6.313042396996171,78.50878655307513,88.99111928954316,87.21783557826289,False,False,0.014290300341987838,1.561102948522581,False
GSE140035 (human),IL12IL18 vs UNSTIM,2,TRPV4,channel,TRPV4,True,log2(CPM+1) from deposited raw counts,,6.0,0.07179512068542197,-0.0945077933216993,0.23809803469254326,0.3176057493329556,paired_t,,0.06134274327900552,0.04343645488916037,27.502200176014078,15.824431026474686,True,True,0.4234743324439408,0.23809803469254326,True
GSE140035 (human),IL12IL18 vs UNSTIM,2,TRPM7,channel,TRPM7,True,log2(CPM+1) from deposited raw counts,,6.0,-0.3654157823664157,-1.38280612683847,0.6519745621056385,0.39823032868410835,paired_t,,7.404429154822243,168.4163326587425,95.44763581086487,94.71435206688342,False,False,0.47787639442093005,1.38280612683847,False
GSE140035 (human),IL12IL18 vs UNSTIM,2,TRPC1,channel,TRPC1,True,log2(CPM+1) from deposited raw counts,,6.0,-0.10707636756227497,-0.4983148035909803,0.2841620684664304,0.513126258712244,paired_t,,0.22990981334058117,0.17276163452774207,35.790863269061525,25.448211797491872,True,True,0.5597741004133572,0.4983148035909803,True
GSE140035 (human),IL12IL18 vs UNSTIM,2,TRPC6,channel,TRPC6,True,log2(CPM+1) from deposited raw counts,,6.0,-0.1752632946763968,-0.3422107426504666,-0.008315846702327018,0.042854395350178175,paired_t,,0.1657277217349734,0.12173175733815267,33.510680854468355,22.800743149094288,True,True,0.11427838760047512,0.3422107426504666,True
GSE140035 (human),IL12IL18 vs UNSTIM,2,TMEM63A,channel,TMEM63A,True,log2(CPM+1) from deposited raw counts,,6.0,-0.7755345315337742,-1.3680621552228573,-0.18300690784469098,0.02000880409624856,paired_t,,5.97571950039557,61.93189585631693,86.1468917513401,83.91546679052485,False,False,0.08003521638499424,1.3680621552228573,False
GSE140035 (human),IL12IL18 vs UNSTIM,2,TMEM63B,channel,TMEM63B,True,log2(CPM+1) from deposited raw counts,,6.0,1.4390152045950932,0.8000938679927414,2.0779365411974453,0.0021645950442524533,paired_t,,4.346262424868982,19.34020655682324,72.30578446275702,67.84486762656758,False,False,0.01298757026551472,2.0779365411974453,False
GSE140035 (human),IL12IL18 vs UNSTIM,2,KCNK2,channel,KCNK2,True,log2(CPM+1) from deposited raw counts,,6.0,-0.11631327161487458,-0.2709409761349818,0.03831443290523266,0.11097283503440693,paired_t,,0.30836983948449975,0.2383076942870015,38.131050484038724,28.165350673478866,True,True,0.22194567006881386,0.2709409761349818,True
GSE140035 (human),IL12IL18 vs UNSTIM,2,KCNK4,channel,KCNK4,True,log2(CPM+1) from deposited raw counts,,6.0,0.10216912239117067,-0.02088819373630646,0.2252264385186478,0.08594134036728109,paired_t,,0.05683480731202802,0.04018115600023808,27.046163693095448,15.294937296795169,True,True,0.18750837898315875,0.2252264385186478,True
