batch,condition,lineage,n_cells,n_empty_droplets,total_counts,rho,removed_frac,val_before,val_after,est_before,est_after
88,Normal,Myeloid,3197,597292,28919841.0,0.039055856084797,0.0390245692460397,1.1618321138072648e-05,5.7297331563730135e-08,0.00012413622882643095,7.151509049603424e-06
90,Tumor,NK,272,476615,477986.0,0.5146703956194166,0.4988128133644709,0.000336829948994322,0.0,0.06508140405785943,0.0063121746850005505
90,Tumor,CD8T,360,476615,759294.0,0.19064790589044522,0.186368158956846,0.0001725286911262304,0.0,0.02410792130584464,0.0006128085495151255
90,Tumor,CD4T,670,476615,1856578.0,0.1586111664575867,0.15394948528101093,0.0001330404647690536,0.0,0.020056792658320846,0.0003877598468425812
90,Tumor,B,1584,476615,21041569.0,0.06021246551150081,0.06005143515739597,8.359642762381455e-05,0.0,3.212688179289292e-05,5.594932574008499e-06
90,Tumor,Myeloid,1321,476615,6500658.0,0.1577372883904668,0.1553729717115725,0.004195729109268631,0.0005875531649564655,0.019946288514178102,0.0008066153929148731
90,Normal,NK,378,476615,705937.0,0.27578887130721674,0.26637846332958626,0.00015723782717154647,0.0,0.03487421682104777,0.001524963615383283
90,Normal,CD8T,395,476615,979255.0,0.14718645396771346,0.1438573660096153,0.00017053780680210978,4.97315794450553e-06,0.01861210818428295,0.0001665281974970743
90,Normal,CD4T,1440,476615,3882511.0,0.13389860928769112,0.13124613520007777,0.00015350890184213258,0.0,0.016931825820969984,0.0003662104485080255
90,Normal,B,431,476615,3060948.0,0.07347559801814064,0.07318319600555401,0.00010519616798455903,7.579129129477913e-06,3.920354086381082e-05,2.6463738973438546e-06
90,Normal,Myeloid,1092,476615,5265640.0,0.13170608700839212,0.12961130367450824,0.0033701506369596098,0.0003236326652146496,0.01665457570209889,0.0011101262570406216
91,Tumor,NK,292,482904,500424.0,0.5068012212007155,0.48932111491611563,0.00016785765670711237,0.0,0.06552643358432049,0.012805252110209376
91,Tumor,CD8T,389,482904,782749.0,0.24739916821143965,0.23919945180353097,0.00019035476251007667,3.355460529205226e-06,0.03198726539414295,0.00022897846186424126
91,Tumor,CD4T,608,482904,1602404.0,0.1465333786263011,0.14257849719741822,0.00015289527484953856,0.0,0.018945908772069964,0.0005161806024685688
91,Tumor,B,1560,482904,21096779.0,0.059815673865171615,0.05970544595217042,8.854432233470332e-05,0.0,3.455503799892865e-05,4.135800275766161e-06
91,Tumor,Myeloid,1353,482904,6100794.0,0.18278087215879293,0.17989335787170768,0.0035456040639956043,0.0,0.023632497671614548,0.0004562689323264586
91,Normal,NK,368,482904,789596.0,0.1960718159272801,0.19170974102334692,0.00021276703529399845,0.0,0.02535093896119028,0.000888948577848968
91,Normal,CD8T,420,482904,974339.0,0.18480455266771828,0.1797103859381124,0.00017345092416499802,0.0,0.0238941477247652,0.0007979023608220268
91,Normal,CD4T,1349,482904,3573026.0,0.1402424591677684,0.13702834940306363,0.00014833365332354146,0.0,0.01813252968212378,0.000563180487579258
91,Normal,B,415,482904,2776894.0,0.08727148348913465,0.0869633200243144,0.00012207884060392655,1.6910438302453204e-06,5.0416040367403295e-05,5.910244301152585e-06
91,Normal,Myeloid,1204,482904,5775506.0,0.13449007025630078,0.13133627893059663,0.00211271531879631,0.0,0.017388779442009065,0.0006992074919707906
230,Tumor,NK,309,267753,333971.0,0.06695527895813276,0.06464304548111321,5.090262328166218e-05,2.4067837571712082e-05,0.002332537855083226,0.0005341857227263483
230,Tumor,CD8T,362,267753,487979.0,0.04129448959295674,0.04051047580261147,2.6640490676852898e-05,0.0,0.0014385864965500564,4.822480516390043e-05
230,Tumor,CD4T,583,267753,962541.0,0.014105809885254603,0.013917174085498973,1.6622668540872545e-05,2.400897039942989e-06,0.0004914076387395446,9.695574938983005e-05
230,Tumor,B,663,267753,1856480.0,0.07227255874982644,0.0716299661211226,0.00010396018271136775,2.735584610963405e-05,0.00010503749030423167,1.0110873273987807e-05
230,Tumor,Myeloid,544,267753,1669979.0,0.09092865878452379,0.08956924646650921,9.940244757568808e-05,0.0,0.003167704504068614,0.00015765926300171276
231,Tumor,NK,106,312278,105969.0,0.04039760247235057,0.038417466337912876,2.831016618067548e-05,7.045486825612966e-06,0.0024912946238994423,0.0003219581817583845
231,Tumor,CD8T,54,312278,63656.0,0.04992835146184258,0.04524653132300538,7.854719115244438e-05,4.591594045652234e-05,0.00307904989317582,0.00032063146766597066
231,Tumor,CD4T,118,312278,163923.0,0.02888507225552997,0.02627306030785226,1.2200850399272829e-05,0.0,0.001781324158293833,0.0010378967648308098
231,Tumor,B,185,312278,493046.0,0.0873169320932786,0.08495685397956043,0.00011357966599465364,3.1993144689218956e-05,0.00011560787431598675,1.4005090278169511e-05
231,Tumor,Myeloid,180,312278,431932.0,0.6019828024281286,0.5618365016906526,0.006839039478436421,0.0,0.03712389913227082,0.0021214708254355657
92,Tumor,NK,310,513574,459894.0,0.8132897156493116,0.7281082785005273,0.0003218132874097075,0.0,0.12236950253754125,0.014434680396132554
92,Tumor,CD8T,449,513574,923872.0,0.2710923585796245,0.2624703626536664,0.00022297461120155174,0.0,0.04078920023553046,0.0030477126456074453
92,Tumor,CD4T,589,513574,1655881.0,0.1707580878841394,0.16530586195944075,0.00019143887755219125,5.675147101905566e-06,0.025692667528644873,0.0015380258611717508
92,Tumor,B,1587,513574,21977508.0,0.10453912709590521,0.10407336906613629,0.0001182117645003246,0.0,5.241722582924324e-05,6.744068780437936e-06
92,Tumor,Myeloid,1427,513574,6215819.0,0.2113805474056914,0.20638262330098534,0.003874791077410716,0.0,0.03180481928447402,0.0019713922727015924
