gene,p_green,p_red,drop_ratio,null_drop,resid,mean_umi,n_pos_green,resid_pct,drop_pct
Psme1,0.8571428571428571,0.8446153846153847,0.014615384615384513,0.03103030303030267,-0.016414918414918156,3.0623376623376624,330,0.42630197541096837,0.3110926923608233
Psme2,0.6623376623376623,0.6846153846153846,-0.03363499245852189,0.06462745098039205,-0.09826244343891394,1.2805194805194806,255,0.2855366763365106,0.2348390661693604
Rnf31,0.18701298701298702,0.14153846153846153,0.24316239316239324,0.1194444444444445,0.12371794871794874,0.21038961038961038,72,0.7373946677717916,0.7644011603812682
Irf9,0.38181818181818183,0.34923076923076923,0.08534798534798538,0.09931972789115644,-0.013971742543171059,0.5064935064935064,147,0.4327945848874154,0.4528249758253903
Tm9sf1,0.09350649350649351,0.06769230769230769,0.2760683760683761,0.11555555555555569,0.1605128205128204,0.10909090909090909,36,0.7963116452548694,0.8089515126398674
Mdp1,0.2675324675324675,0.26461538461538464,0.01090365944734859,0.11300970873786405,-0.10210604929051546,0.3116883116883117,103,0.280425473131648,0.3016991297140489
Nedd8,0.6753246753246753,0.6123076923076923,0.0933136094674556,0.07661538461538447,0.01669822485207112,1.1272727272727272,260,0.5049039922641249,0.46981627296587924
Gmpr2,0.07792207792207792,0.07692307692307693,0.012820512820512744,0.1093333333333334,-0.09651282051282065,0.08051948051948052,30,0.2873325044895704,0.30570520790164385
Tinf2,0.24415584415584415,0.06923076923076923,0.7164484451718494,0.1017021276595744,0.6147463175122749,0.3038961038961039,94,0.995993921812405,0.9961320624395634
Rabggta,0.05454545454545454,0.04,0.2666666666666666,0.12190476190476175,0.14476190476190487,0.05454545454545454,21,0.7702721370355021,0.7962425749412902
Dhrs1,0.23636363636363636,0.13230769230769232,0.4402366863905325,0.10285714285714274,0.3373795435333897,0.3090909090909091,91,0.9493023898328499,0.9452963116452548
Nop9,0.13506493506493505,0.09846153846153846,0.27100591715976324,0.11307692307692298,0.15792899408284028,0.14805194805194805,52,0.7916839342450614,0.802044481281945
Ripk3,0.07792207792207792,0.03538461538461538,0.5458974358974359,0.12133333333333313,0.42456410256410276,0.08051948051948052,30,0.9761016715015887,0.9778974996546484
Khnyn,0.18961038961038962,0.12461538461538461,0.34278187565858803,0.11178082191780815,0.2310010537407799,0.22337662337662337,73,0.8769167012018234,0.8800939356264678
Cma1,0.16363636363636364,0.02,0.8777777777777779,0.06095238095238109,0.8168253968253968,0.35584415584415585,63,1.0,0.9997237187456831
Gzmc,0.11948051948051948,0.7661538461538462,-5.412374581939799,0.04173913043478282,-5.454113712374582,1.4181818181818182,46,0.0001381406271584473,0.0001381406271584473
Gzmb,0.9142857142857143,0.9046153846153846,0.010576923076923064,0.010000000000000096,0.000576923076922968,29.233766233766232,352,0.4630473822351153,0.30100842657825666
Parp4,0.2545454545454545,0.2246153846153846,0.11758241758241753,0.1093877551020407,0.008194662480376827,0.3116883116883117,98,0.4852880232076254,0.5256941566514712
Mphosph8,0.23636363636363636,0.18769230769230769,0.20591715976331362,0.10461538461538442,0.10130177514792921,0.3064935064935065,91,0.6992678546760602,0.7045862688216604
Pspc1,0.23896103896103896,0.17692307692307693,0.2596153846153846,0.09956521739130442,0.16005016722408016,0.2779220779220779,92,0.7956900124326565,0.7876778560574665
Zmym5,0.3090909090909091,0.20153846153846153,0.3479638009049774,0.1021848739495799,0.24577892695539752,0.412987012987013,119,0.8887967951374499,0.8841000138140627
Zmym2,0.17142857142857143,0.12461538461538461,0.2730769230769231,0.11030303030303026,0.16277389277389284,0.2025974025974026,66,0.7991435281116176,0.804807293825114
Eef1akmt1,0.05974025974025974,0.11538461538461539,-0.9314381270903012,0.12000000000000016,-1.0514381270903013,0.06233766233766234,23,0.005801906340654786,0.005801906340654786
Xpo4,0.12987012987012986,0.16615384615384615,-0.2793846153846155,0.10160000000000019,-0.3809846153846157,0.16103896103896104,50,0.07749689183588894,0.07397430584334853
Lats2,0.1974025974025974,0.08153846153846153,0.5869433198380567,0.11631578947368448,0.4706275303643722,0.22857142857142856,76,0.9843901091310955,0.9859096560298384
Sap18,0.36883116883116884,0.32153846153846155,0.12822318526543877,0.09971830985915514,0.02850487540628363,0.4961038961038961,142,0.5401298521895289,0.5496615554634618
Mrpl57,0.3168831168831169,0.3030769230769231,0.043568726355611584,0.10524590163934462,-0.06167717528373304,0.37402597402597404,122,0.3434175991159,0.37201270893769856
Zdhhc20,0.5298701298701298,0.4169230769230769,0.21315987933634992,0.09627450980392147,0.11688536953242845,0.7636363636363637,204,0.7253764332090068,0.715568448680757
Micu2,0.18441558441558442,0.24,-0.3014084507042253,0.12450704225352127,-0.42591549295774656,0.21558441558441557,71,0.06243956347561818,0.06616936040889626
Rcbtb1,0.09090909090909091,0.06,0.34,0.10285714285714295,0.23714285714285707,0.1038961038961039,35,0.8818897637795275,0.8782290371598287
Phf11a,0.13766233766233765,0.12,0.1283018867924528,0.0920754716981133,0.036226415094339506,0.18441558441558442,53,0.5607128056361376,0.5500759773449372
Phf11b,0.42597402597402595,0.42,0.014024390243902419,0.07000000000000009,-0.05597560975609767,0.9506493506493506,164,0.3530874430169913,0.3101257079707142
Phf11c,0.14025974025974025,0.10461538461538461,0.25413105413105413,0.08814814814814828,0.16598290598290585,0.22337662337662337,54,0.8023207625362619,0.7799419809365935
Setdb2,0.09090909090909091,0.06923076923076923,0.23846153846153845,0.1165714285714285,0.12189010989010994,0.1012987012987013,35,0.7335267302113552,0.7576322696505042
Cab39l,0.18961038961038962,0.15538461538461537,0.18050579557428884,0.11945205479452065,0.06105374077976819,0.2077922077922078,73,0.6143113689736152,0.6568586821384169
Cdadc1,0.15324675324675324,0.0876923076923077,0.42777053455019554,0.10915254237288137,0.3186179921773142,0.16883116883116883,59,0.938251139660174,0.9371460146429065
Gm49336,0.11688311688311688,0.10461538461538461,0.10495726495726498,0.12711111111111104,-0.022153846153846052,0.13506493506493505,45,0.41400745959386653,0.49751346871114793
Mtmr6,0.18701298701298702,0.13230769230769232,0.2925213675213675,0.10999999999999986,0.1825213675213676,0.23116883116883116,72,0.824285122254455,0.8300870285951099
Spata13,0.4857142857142857,0.28615384615384615,0.4108597285067873,0.08556149732620347,0.3252982311805839,0.7246753246753247,187,0.9430860616107197,0.9303771239121426
Sacs,0.17922077922077922,0.14153846153846153,0.21025641025641031,0.1095652173913044,0.10069119286510592,0.23376623376623376,69,0.6983008702859511,0.7127365658240088
Ebpl,0.0987012987012987,0.12,-0.21578947368421042,0.11894736842105268,-0.3347368421052631,0.10649350649350649,38,0.09421190772206106,0.09794170465533913
Kpna3,0.17922077922077922,0.18,-0.004347826086956461,0.11246376811594198,-0.11681159420289844,0.2077922077922078,69,0.2591518165492471,0.27579776212184004
Spryd7,0.05714285714285714,0.07076923076923076,-0.23846153846153842,0.09272727272727267,-0.3311888111888111,0.06233766233766234,22,0.09586959524796243,0.0873048763641387
Trim13,0.06493506493506493,0.046153846153846156,0.2892307692307691,0.128,0.16123076923076912,0.07272727272727272,25,0.7970714187042409,0.8242160519408758
Rnaseh2b,0.05714285714285714,0.06153846153846154,-0.07692307692307701,0.1327272727272727,-0.2096503496503497,0.05974025974025974,22,0.17157065893079154,0.19056499516507805
Ints6,0.21558441558441557,0.18153846153846154,0.1579240037071362,0.08771084337349383,0.07021316033364236,0.3116883116883117,83,0.6361375880646498,0.6148639314822489
Ctsb,0.2571428571428571,0.2692307692307692,-0.047008547008547064,0.11232323232323228,-0.15933177933177933,0.3090909090909091,99,0.21135515955242437,0.21895289404613896
Kif13b,0.2675324675324675,0.36615384615384616,-0.36863330843913383,0.09708737864077674,-0.46572068707991054,0.37402597402597404,103,0.05318414145600221,0.05014504765851637
Hmbox1,0.11168831168831168,0.11076923076923077,0.008228980322003508,0.12186046511627924,-0.11363148479427573,0.12727272727272726,43,0.26371045724547587,0.29783119215361237
Ints9,0.12727272727272726,0.08307692307692308,0.3472527472527472,0.13306122448979588,0.2141915227629513,0.13506493506493505,49,0.8603398259428098,0.8833402403646913
Extl3,0.10649350649350649,0.1,0.060975609756097456,0.109268292682927,-0.04829268292682954,0.13506493506493505,41,0.3662108025970438,0.40454482663351293
Zfp395,0.05714285714285714,0.04461538461538461,0.21923076923076926,0.12363636363636366,0.0955944055944056,0.05974025974025974,22,0.6871114794861168,0.7267578394805913
Ccdc25,0.14805194805194805,0.1723076923076923,-0.1638326585695007,0.11578947368421061,-0.2796221322537113,0.16623376623376623,57,0.12460284569691947,0.12853985357093523
Ptk2b,0.5454545454545454,0.5261538461538462,0.03538461538461524,0.07866666666666686,-0.04328205128205162,0.8935064935064935,210,0.3744992402265506,0.3559883961873187
Trim35,0.12467532467532468,0.09076923076923077,0.2719551282051282,0.12166666666666685,0.15028846153846132,0.14025974025974025,48,0.7789749965464843,0.8033568172399502
Dpysl2,0.18181818181818182,0.11846153846153847,0.34846153846153843,0.11885714285714284,0.2296043956043956,0.2,70,0.8752590136759221,0.8847216466362757
Bnip3l,0.43116883116883115,0.3676923076923077,0.14721964782205738,0.08337349397590363,0.06384615384615375,0.6571428571428571,166,0.6195607128056362,0.5930377123912143
Ppp2r2a,0.3194805194805195,0.33076923076923076,-0.035334584115071906,0.11089430894308941,-0.1462288930581613,0.3948051948051948,123,0.22558364414974444,0.2327669567619837
Kctd9,0.05974025974025974,0.08153846153846153,-0.36488294314381264,0.14608695652173906,-0.5109698996655517,0.05974025974025974,23,0.043928719436386245,0.051250172675783946
Dock5,0.17402597402597403,0.1646153846153846,0.05407577497129742,0.10507462686567169,-0.050998851894374274,0.2025974025974026,67,0.360408896256389,0.3921812405028319
Slc25a37,0.07792207792207792,0.07384615384615385,0.0523076923076922,0.11600000000000003,-0.06369230769230783,0.09090909090909091,30,0.34079292719988946,0.38762259980660313
R3hcc1,0.05194805194805195,0.06461538461538462,-0.24384615384615377,0.12800000000000009,-0.3718461538461538,0.05194805194805195,20,0.07984528249758253,0.08502555601602431
Chmp7,0.08051948051948052,0.07846153846153846,0.025558312655086887,0.09677419354838696,-0.07121588089330007,0.08831168831168831,31,0.327669567619837,0.3361652161900815
Bin3,0.17662337662337663,0.15384615384615385,0.1289592760180995,0.12117647058823525,0.007782805429864259,0.2,68,0.4844591794446747,0.5516645945572592
Ccar2,0.05974025974025974,0.06923076923076923,-0.1588628762541807,0.12869565217391316,-0.2875585284280938,0.06233766233766234,23,0.12101118939079983,0.1319933692498964
Pdlim2,0.2,0.21076923076923076,-0.053846153846153766,0.11636363636363625,-0.17020979020979002,0.23636363636363636,77,0.20196159690564996,0.2117695814338997
Ppp3cc,0.45714285714285713,0.44,0.037499999999999964,0.0925000000000002,-0.05500000000000023,0.6753246753246753,176,0.35446884928857575,0.35958005249343833
Slc39a14,0.05714285714285714,0.13230769230769232,-1.3153846153846158,0.13090909090909109,-1.446293706293707,0.06233766233766234,22,0.002210250034535157,0.002210250034535157
Polr3d,0.05974025974025974,0.09230769230769231,-0.5451505016722409,0.15130434782608698,-0.6964548494983278,0.06233766233766234,23,0.018096422157756597,0.02141179720955933
Reep4,0.06233766233766234,0.04153846153846154,0.33365384615384613,0.1266666666666665,0.20698717948717962,0.06233766233766234,24,0.850808122668877,0.8724271308191739
Nudt18,0.09350649350649351,0.09384615384615384,-0.0036324786324785628,0.11888888888888909,-0.12252136752136765,0.1012987012987013,36,0.25196850393700787,0.27614311368973615
Fam160b2,0.11948051948051948,0.055384615384615386,0.5364548494983278,0.10695652173913055,0.4294983277591972,0.13246753246753246,46,0.9767923746373809,0.9761707418151678
Xpo7,0.19220779220779222,0.14461538461538462,0.24760914760914762,0.11405405405405421,0.13355509355509343,0.22857142857142856,74,0.7517612929962703,0.7722751761292996
Dok2,0.4935064935064935,0.33076923076923076,0.3297570850202429,0.07789473684210527,0.2518623481781377,0.9064935064935065,190,0.8940461389694709,0.8693189667081088
Fndc3a,0.38181818181818183,0.46923076923076923,-0.22893772893772887,0.08734693877551035,-0.3162846677132392,0.6077922077922078,147,0.10263848597872634,0.09234700925542202
Cysltr2,0.2623376623376623,0.19846153846153847,0.2434881949733434,0.10019801980198005,0.14329017517136333,0.38701298701298703,101,0.7682000276281254,0.7648846525763227
Rcbtb2,0.09610389610389611,0.10153846153846154,-0.056548856548856476,0.10162162162162165,-0.15817047817047813,0.11168831168831168,37,0.21301284707832574,0.20914490951788922
Rb1,0.07532467532467532,0.08615384615384615,-0.14376657824933686,0.1268965517241381,-0.27066312997347497,0.07792207792207792,29,0.13095731454620804,0.1413178615830916
Lpar6,0.09090909090909091,0.06461538461538462,0.28923076923076924,0.09028571428571441,0.19894505494505482,0.11428571428571428,35,0.8419671225307362,0.8261500207210941
Itm2b,0.9428571428571428,0.8676923076923077,0.07972027972027974,0.01520661157024803,0.06451366815003172,4.332467532467533,363,0.6212184003315375,0.4406686006354469
Med4,0.22077922077922077,0.18615384615384614,0.15683257918552038,0.11152941176470567,0.04530316742081471,0.2623376623376623,85,0.5796380715568449,0.6126536814477138
Sucla2,0.13246753246753246,0.1276923076923077,0.036048265460030114,0.12156862745098042,-0.08552036199095031,0.14805194805194805,51,0.3052907860201685,0.3572316618317447
Esd,0.4935064935064935,0.44769230769230767,0.09283400809716603,0.09199999999999997,0.0008340080971660641,0.6987012987012987,190,0.4640143666252245,0.4689874292029286
Lrch1,0.11688311688311688,0.10461538461538461,0.10495726495726498,0.10133333333333351,0.003623931623931473,0.14285714285714285,45,0.4720265230004144,0.49751346871114793
Lcp1,0.8857142857142857,0.92,-0.03870967741935493,0.022287390029325747,-0.06099706744868068,3.47012987012987,341,0.3447990053874845,0.2277938941842796
Zc3h13,0.4103896103896104,0.3861538461538462,0.05905550146056474,0.088354430379747,-0.029298928919182253,0.6519480519480519,158,0.4001933968780218,0.40109131095455175
Cog3,0.06233766233766234,0.046153846153846156,0.2596153846153846,0.11833333333333312,0.14128205128205146,0.06493506493506493,24,0.7644702306948473,0.7876778560574665
Slc25a30,0.14025974025974025,0.07384615384615385,0.47350427350427343,0.12296296296296297,0.35054131054131044,0.16103896103896104,54,0.9551042961735047,0.9597320071833126
Tpt1,0.9896103896103896,0.9815384615384616,0.00815667272360181,0.002099737532808108,0.006056935190793703,47.38181818181818,381,0.47851913247686145,0.29714048901782014
Gtf2f2,0.11688311688311688,0.10615384615384615,0.09179487179487177,0.12888888888888908,-0.037094017094017315,0.12727272727272726,45,0.3855504903992264,0.46601740571902195
Gpalpp1,0.12987012987012986,0.1076923076923077,0.17076923076923065,0.10080000000000006,0.06996923076923059,0.15064935064935064,50,0.6354468849288576,0.6366210802597044
Nufip1,0.06753246753246753,0.11076923076923077,-0.6402366863905328,0.13230769230769232,-0.7725443786982251,0.06753246753246753,26,0.014504765851636967,0.015609890868904545
Tsc22d1,0.06493506493506493,0.07846153846153846,-0.20830769230769236,0.13439999999999994,-0.34270769230769227,0.06753246753246753,25,0.09048211078878299,0.10194778284293411
Dnajc15,0.4857142857142857,0.6261538461538462,-0.2891402714932127,0.0814973262032085,-0.3706375976964212,0.8233766233766234,187,0.08012156375189944,0.06989915734217433
Epsti1,0.8,0.7292307692307692,0.08846153846153851,0.03675324675324651,0.051708291708292,2.4025974025974026,308,0.5931758530183727,0.45959386655615414
Akap11,0.13246753246753246,0.15692307692307692,-0.18461538461538465,0.10274509803921572,-0.28736048265460035,0.16103896103896104,51,0.12128747064511673,0.11562370493162039
Dgkh,0.14285714285714285,0.10153846153846154,0.28923076923076924,0.07563636363636372,0.2135944055944055,0.2701298701298701,55,0.8596491228070176,0.8261500207210941
Vwa8,0.06493506493506493,0.08923076923076922,-0.37415384615384617,0.13119999999999998,-0.5053538461538462,0.06493506493506493,25,0.04475756319933692,0.048487360132615
Rgcc,0.05714285714285714,0.046153846153846156,0.19230769230769224,0.09999999999999987,0.09230769230769237,0.08051948051948052,22,0.6807570106368283,0.6815858543997789
Naa16,0.08831168831168831,0.10153846153846154,-0.14977375565610854,0.13411764705882362,-0.2838914027149322,0.0987012987012987,34,0.1229451581710181,0.1378643459041304
Wbp4,0.3090909090909091,0.2923076923076923,0.05429864253393658,0.09008403361344536,-0.03578539107950878,0.42597402597402595,119,0.3887277248238707,0.3923193811299903
Elf1,0.7532467532467533,0.6015384615384616,0.20140583554376656,0.06124137931034512,0.14016445623342144,1.5298701298701298,290,0.762812543168946,0.6958143389970991
Sugt1,0.5246753246753246,0.43538461538461537,0.17018278750952012,0.09821782178217824,0.07196496572734189,0.7272727272727273,202,0.6394529631164525,0.6361375880646498
Tdrd3,0.05194805194805195,0.04,0.23000000000000004,0.10399999999999998,0.12600000000000006,0.05454545454545454,20,0.7408481834507529,0.7440944881889764
Rpl36a-ps1,0.16623376623376623,0.13076923076923078,0.21334134615384612,0.10374999999999991,0.1095913461538462,0.19220779220779222,64,0.7125293548832712,0.7159828705622323
Mzt1,0.15584415584415584,0.1276923076923077,0.18064102564102566,0.10399999999999994,0.07664102564102572,0.18441558441558442,60,0.6485702445089101,0.6569968227655754
Dis3,0.05714285714285714,0.07538461538461538,-0.31923076923076926,0.14181818181818187,-0.46104895104895116,0.05714285714285714,22,0.05497996960906203,0.061196297831192153
Pibf1,0.19220779220779222,0.16615384615384615,0.1355509355509356,0.11243243243243227,0.023118503118503317,0.23896103896103896,74,0.5231385550490399,0.565478657273104
Klf12,0.07012987012987013,0.026153846153846153,0.6270655270655271,0.10370370370370359,0.5233618233618235,0.07792207792207792,27,0.9904682967260672,0.9902610857853295
Commd6,0.18701298701298702,0.22153846153846155,-0.1846153846153846,0.11833333333333353,-0.30294871794871814,0.2,72,0.11037436109959939,0.117972095593314
Uchl3,0.18961038961038962,0.19692307692307692,-0.03856691253951524,0.11287671232876709,-0.15144362486828233,0.22597402597402597,73,0.22005801906340655,0.22807017543859648
Kctd12,0.4909090909090909,0.24769230769230768,0.49544159544159544,0.06878306878306881,0.42665852665852666,1.044155844155844,189,0.9763779527559056,0.9663627572869181
Gm26778,0.12207792207792208,0.052307692307692305,0.5715220949263503,0.10553191489361692,0.4659901800327334,0.14805194805194805,47,0.9836994059953033,0.9828705622323526
Cln5,0.13506493506493505,0.08,0.40769230769230763,0.1115384615384615,0.2961538461538461,0.14545454545454545,52,0.9255422019615969,0.9256803425887553
Fbxl3,0.2597402597402597,0.13076923076923078,0.4965384615384615,0.1179999999999998,0.3785384615384617,0.3038961038961039,100,0.9646359994474375,0.9665699682276557
Mycbp2,0.6909090909090909,0.7723076923076924,-0.1178137651821863,0.05834586466165379,-0.1761596298438401,1.5974025974025974,266,0.1968503937007874,0.159966846249482
Slain1,0.13246753246753246,0.08,0.39607843137254894,0.13490196078431363,0.26117647058823534,0.14545454545454545,51,0.90302527973477,0.9211217018925266
Rbm26,0.2753246753246753,0.3476923076923077,-0.26284470246734404,0.10490566037735846,-0.3677503628447025,0.33766233766233766,106,0.08122668876916701,0.0794308606161072
Ndfip2,0.37142857142857144,0.36153846153846153,0.026627218934911295,0.1054545454545455,-0.0788273265196342,0.4831168831168831,143,0.3138555049039923,0.33775383340240367
Gm10076,0.3038961038961039,0.5076923076923077,-0.6706114398422091,0.10735042735042767,-0.7779618671926367,0.36363636363636365,117,0.013952203343003178,0.013952203343003178
Spry2,0.7454545454545455,0.5476923076923077,0.2652908067542214,0.0402787456445995,0.2250120611096219,2.0935064935064935,287,0.8709766542340103,0.7947230280425474
Tpm3-rs7,0.07012987012987013,0.03538461538461538,0.49544159544159544,0.10962962962962974,0.3858119658119657,0.08571428571428572,27,0.9664318276004973,0.9663627572869181
Tgds,0.05454545454545454,0.06153846153846154,-0.12820512820512833,0.11619047619047605,-0.24439560439560437,0.05974025974025974,21,0.1475341898052217,0.1525072523829258
Dnajc3,0.5402597402597402,0.5046153846153846,0.06597633136094674,0.08153846153846146,-0.015562130177514719,0.9194805194805195,208,0.428650366072662,0.4149053736703965
Mbnl2,0.412987012987013,0.2630769230769231,0.3629898403483309,0.10515723270440223,0.2578326076439287,0.5844155844155844,159,0.8997099046829673,0.8979140765299074
Rap2a,0.16623376623376623,0.16,0.03749999999999998,0.09687499999999993,-0.059374999999999956,0.22077922077922077,64,0.34714739604917805,0.359787263434176
Ipo5,0.11168831168831168,0.12153846153846154,-0.08819320214669057,0.13302325581395377,-0.22121645796064435,0.12207792207792208,43,0.16259151816549247,0.18041165906893217
Stk24,0.6545454545454545,0.6153846153846154,0.05982905982905977,0.07111111111111129,-0.011282051282051522,1.2311688311688311,252,0.4381820693465948,0.40233457659897776
1810041H14Rik,0.05454545454545454,0.03538461538461538,0.3512820512820513,0.11428571428571423,0.2369963369963371,0.06753246753246753,21,0.8817516231523691,0.8874153888658655
Ubac2,0.4935064935064935,0.4307692307692308,0.12712550607287443,0.08357894736842096,0.04354655870445347,0.7480519480519481,190,0.5754938527420914,0.5471059538610306
Gpr18,0.42597402597402595,0.3630769230769231,0.14765478424015005,0.07829268292682928,0.06936210131332077,0.7610389610389611,164,0.6340654786572731,0.5943500483492195
Gpr183,0.2051948051948052,0.26153846153846155,-0.2745861733203505,0.061265822784810096,-0.3358519961051606,0.4727272727272727,79,0.09352120458626882,0.07570106368282913
