gene,p_green,p_red,drop_ratio,null_drop,resid,n_pos_green,resid_pct
Ifi208,0.31568409343715237,0.22655444864307797,0.28233809256473885,0.10469344608879501,0.17764464647594386,1419,0.9375067341881262
Mndal,0.6709677419354839,0.648059086224665,0.0341427080305474,0.06545092838196305,-0.03130822035141565,3016,0.32571921129188663
Ifi203,0.6418242491657397,0.5967021642047406,0.07030286720959812,0.06685615251299803,0.0034467146966000867,2885,0.48109039974140716
Fh1,0.2660734149054505,0.20199244245963585,0.24083944075580005,0.11949832775919744,0.12134111299660261,1196,0.8742592393061093
Cep170,0.1486095661846496,0.13019580900034353,0.12390694392732905,0.12766467065868262,-0.003757726731353564,668,0.44779657364508135
Sdccag8,0.22291434927697443,0.18945379594641018,0.15010497726635358,0.12578842315369246,0.02431655411266112,1002,0.5768774916496068
Akt3,0.39977753058954396,0.37255238749570596,0.06810073355971163,0.0985420144685588,-0.030441280908847165,1797,0.33024458571274645
Adss,0.4324805339265851,0.4065613191343181,0.059931517742407486,0.10312757201646079,-0.043196054274053305,1944,0.27895700894300185
Desi2,0.43381535038932145,0.35314324974235656,0.18595953456826012,0.10494358974358975,0.08101594482467037,1950,0.7886003663398341
Cox20,0.496551724137931,0.5080728272071453,-0.02320222145883431,0.09433691756272378,-0.11753913902155809,2232,0.11615127680206874
Hnrnpu,0.8315906562847608,0.8096873926485744,0.026338996801674175,0.04233279828785435,-0.015993801486180174,3738,0.3943540566749273
Efcab2,0.05517241379310345,0.040364136035726556,0.2684000343524562,0.14096774193548364,0.12743229241697254,248,0.8843874582480337
Smyd3,0.4502780867630701,0.42648574373067677,0.05283922032144659,0.09316205533596855,-0.04032283501452196,2024,0.28919297489494666
Tfb2m,0.15862068965517243,0.1432497423565785,0.09690379818678777,0.13688639551192167,-0.0399825973251339,713,0.2910246740652947
Cnst,0.23047830923248053,0.1970113363105462,0.14520660548657796,0.13092664092664086,0.014279964559937103,1036,0.5287145781704558
Sccpdh,0.08520578420467186,0.10975609756097561,-0.2881296567534866,0.09221932114882517,-0.3803489779023118,383,0.02230363107423769
Ahctf1,0.29299221357063404,0.24184129165235313,0.17458116478562846,0.12078967350037986,0.0537914912852486,1317,0.6970154078224329
Coq8a,0.07296996662958843,0.08639642734455513,-0.18399981985907105,0.13670731707317046,-0.3207071369322415,328,0.02898394569550695
Psen2,0.48921023359288096,0.4998282377189969,-0.021704378602497163,0.09020463847203287,-0.11190901707453003,2199,0.12304708544337895
Itpkb,0.6358175750834261,0.621607694950189,0.022348989222848406,0.07317004898530431,-0.050821059762455906,2858,0.2518047624178429
Parp1,0.30789766407119024,0.23187907935417382,0.24689562016111904,0.11199421965317923,0.1349014005079398,1384,0.8969938584204288
Lin9,0.12703003337041158,0.10425970456887668,0.1792515375882651,0.1276357267950964,0.05161581079316868,571,0.6879646589807132
Acbd3,0.30055617352614017,0.2634833390587427,0.12334743962320617,0.12296076980014803,0.0003866698230581417,1351,0.46816075853895056
H3f3a,0.8865406006674083,0.9115424252834078,-0.02820155624816008,0.02166122961104115,-0.04986278585920123,3985,0.255252666738498
Sde2,0.2400444938820912,0.22947440742013053,0.04403386343513736,0.12407784986098257,-0.0800439864258452,1079,0.17401142118306218
Pycr2,0.31012235817575085,0.26451391274476127,0.1470659700231694,0.12120516499282638,0.02586080503034302,1394,0.5828035772007327
Tmem63a,0.1646273637374861,0.1308828581243559,0.20497507125813544,0.14135135135135152,0.06362371990678392,740,0.7311712099989225
Ephx1,0.4745272525027809,0.629165235314325,-0.3258779806553637,0.07311767463666212,-0.39899565529202585,2133,0.02057967891391014
Nvl,0.28876529477196883,0.24115424252834078,0.1648780276079415,0.12240369799691818,0.042474329611023334,1298,0.6551018209244693
Cnih4,0.30634037819799775,0.2858124355891446,0.06701024112330788,0.11511982570806086,-0.04810958458475298,1377,0.2613942463096649
Wdr26,0.5381535038932147,0.42030230161456544,0.21899179588364134,0.09018602728400162,0.12880576859963971,2419,0.8866501454584635
Lbr,0.567964404894327,0.46976983854345583,0.17288859214538418,0.08716020368194279,0.0857283884634414,2553,0.8027152246525159
Srp9,0.6342602892102336,0.6143936791480591,0.03132248762871777,0.07737635917222006,-0.046053871543502295,2851,0.2701217541213231
Degs1,0.32791991101223583,0.2535211267605634,0.22688096011619246,0.1118046132971506,0.11507634681904186,1474,0.8627303092339188
Fbxo28,0.24404894327030033,0.211611130195809,0.1329151957792512,0.12630811303555153,0.0066070827436996715,1097,0.4959594871242323
Trp53bp2,0.125027808676307,0.10288560632085195,0.1770982199070649,0.1416370106761564,0.03546120923090851,562,0.6231009589483891
Capn2,0.2956618464961068,0.2260391618000687,0.2354807883436352,0.11855530474040636,0.11692548360322884,1329,0.8660704665445534
Disp1,0.14593993325917687,0.1264170388182755,0.1337734916339201,0.1315243902439024,0.002249101390017716,656,0.4751643141902812
Brox,0.18331479421579533,0.13998625901751977,0.23636136616049594,0.13995145631067937,0.09640990984981657,824,0.8279280249973063
Aida,0.15951056729699667,0.11679835108210238,0.2677704489343791,0.13924686192468622,0.1285235870096929,717,0.8863269044284021
Mia3,0.4378197997775306,0.40415664720027483,0.0768881457493723,0.10241869918699201,-0.025530553437619702,1968,0.35114750565671804
Taf1a,0.08476084538375973,0.07196839574029543,0.1509240450062259,0.14309711286089233,0.00782693214533356,381,0.5025320547354811
Dusp10,0.29232480533926586,0.1846444520783236,0.3683585904931015,0.11555555555555562,0.25280303493754586,1314,0.9689688611141041
Marc2,0.4731924360400445,0.4486430779800756,0.05188028419349336,0.10849083215796913,-0.056610547964475774,2127,0.23359551772438314
Rab3gap2,0.18754171301446051,0.16660941257299897,0.11161410496366508,0.1316251482799525,-0.02001104331628742,843,0.37765327012175415
Iars2,0.27474972191323693,0.21882514599793884,0.20354734310871653,0.12019433198380575,0.08335301112491078,1235,0.796358151061308
Eprs,0.3735261401557286,0.3236001374098248,0.1336613355228336,0.10422870756402632,0.029432627958807286,1679,0.5987501346837625
Rrp15,0.15595105672969967,0.14204740638955685,0.089153934777378,0.11737517831669027,-0.02822124353931227,701,0.3392953345544661
