gene,axis,lineage,detected,frac_ge_floor,detection_rate,mean_CPM,soup_frac
CCL5,ligand_lymphoid,CD8T,True,1.0,1.0,2515.638728486075,0.01277783519563686
XCL1,ligand_lymphoid,CD8T,True,0.9827586206896551,1.0,123.45591026869502,0.014101419029367727
XCL2,ligand_lymphoid,CD8T,True,0.9482758620689655,1.0,126.4171431827011,0.012140135213448722
CCL2,ligand_myeloid_stromal,CD8T,False,0.46551724137931033,0.7931034482758621,19.83256424182573,0.376602641455813
CCL7,ligand_myeloid_stromal,CD8T,False,0.0,0.29310344827586204,0.3016125529892069,0.7495646835251737
CCL8,ligand_myeloid_stromal,CD8T,False,0.034482758620689655,0.3103448275862069,0.7192308331112369,0.5363474775373738
CCL13,ligand_myeloid_stromal,CD8T,False,0.1206896551724138,0.5689655172413793,1.9100029400045453,0.6738501317971157
CCL14,ligand_myeloid_stromal,CD8T,False,0.034482758620689655,0.2413793103448276,0.8517982228608145,0.12796974806168204
CCL15,ligand_myeloid_stromal,CD8T,False,0.0,0.1896551724137931,0.16086491666948197,0.2498112458269324
CCL17,ligand_myeloid_stromal,CD8T,False,0.1724137931034483,0.6379310344827587,3.713166477742733,0.6011762448726823
CCL18,ligand_myeloid_stromal,CD8T,True,0.7241379310344828,0.8793103448275862,67.50772921399337,0.8733757594778409
CCL19,ligand_myeloid_stromal,CD8T,False,0.05172413793103448,0.3275862068965517,1.0657925236640937,0.32004069726079476
CCL20,ligand_myeloid_stromal,CD8T,True,0.8793103448275862,0.9655172413793104,54.758305921336444,0.28331362636904284
CCL21,ligand_myeloid_stromal,CD8T,False,0.017241379310344827,0.27586206896551724,1.9347639890488568,0.45091998856368787
CCL22,ligand_myeloid_stromal,CD8T,False,0.1206896551724138,0.5862068965517241,1.9438064762288725,0.13707488451629424
CCL23,ligand_myeloid_stromal,CD8T,False,0.20689655172413793,0.7758620689655172,4.612709470399263,0.26720061422240016
CCL24,ligand_myeloid_stromal,CD8T,False,0.0,0.034482758620689655,0.021923891411038107,0.1831309084891746
CCL28,ligand_myeloid_stromal,CD8T,False,0.43103448275862066,0.9655172413793104,7.677572822636082,0.04019720680624245
CXCL1,ligand_myeloid_stromal,CD8T,False,0.2413793103448276,0.7586206896551724,5.466068534014066,0.4245175672837035
