labelling,tissue,assay,donors,n_nk,n_bright,n_unclass,median_umi,bright_frac,stress,CCL3,CCL3_bright,CCL4,CCL4_bright,CCL5,CCL5_bright,XCL1,XCL1_bright,XCL2,XCL2_bright,reportable
original,jejunum lamina propria,10x 3' v3,2,72,35,0,4411.5,0.36272727272727273,1.4022271182817878,0.6181818181818182,0.25,0.7609090909090909,0.39705882352941174,0.8145454545454545,0.8382352941176471,0.2981818181818182,0.29411764705882354,0.4390909090909091,0.3235294117647059,False
original,jejunum lamina propria,10x 5' v2,3,71,37,0,3397.5,0.509090909090909,1.6253868121906372,0.5,0.5,0.75,0.5714285714285714,0.5833333333333334,0.42857142857142855,0.5,0.8571428571428571,0.75,0.8571428571428571,False
original,liver,10x 5' v1,5,1515,990,0,4436.5,0.59375,2.152979449578895,0.78125,0.8663239074550129,0.875,0.8894601542416453,0.7899686520376176,0.7530864197530864,0.723404255319149,0.9012345679012346,0.5073891625615764,0.5838926174496645,True
original,liver,10x 5' v2,2,2072,715,0,4643.0,0.35452713185561546,2.1283765767088525,0.7691568196412417,0.7548061505223893,0.8627667602544212,0.813332320623829,0.8545655668933709,0.7473838337806133,0.40367429586542114,0.8489628166827012,0.425483836191744,0.7799972994413219,False
original,lung,10x 3' v3,2,2880,428,0,4101.0,0.10743434382048243,1.3293956429916314,0.7777103482549028,0.7279267495094833,0.9115959134523491,0.7305428384565076,0.7799156122175924,0.632221495530848,0.19496158110019496,0.6025724874645738,0.4337369547765587,0.776106387617179,False
original,lung,10x 5' v1,6,324,29,0,3281.5,0.11933333333333332,1.7428476866094793,0.6666666666666666,0.6,0.8819444444444444,0.8888888888888888,0.8469827586206897,0.7777777777777778,0.5555555555555556,1.0,0.44588235294117645,0.75,True
original,lung,10x 5' v2,2,29,5,0,4852.25,0.17894736842105263,1.8031022207622032,0.7947368421052632,0.5833333333333333,0.8473684210526315,0.5,0.9236842105263158,0.75,0.15263157894736842,0.5833333333333333,0.3368421052631579,0.75,False
original,mesenteric lymph node,10x 5' v1,5,41,40,0,5050.5,1.0,1.5918681137385589,0.7272727272727273,0.7272727272727273,0.8,0.8,0.8,0.8,0.75,0.8571428571428571,0.7272727272727273,0.7272727272727273,False
original,mesenteric lymph node,10x 5' v2,3,950,587,0,4519.0,0.72,1.789281811101312,0.62,0.5980392156862745,0.6509433962264151,0.6470588235294118,0.74,0.7104677060133631,0.48488664987405544,0.7260579064587973,0.5491183879093199,0.7171492204899778,True
original,omentum,10x 5' v1,4,33,7,0,3326.5,0.20202020202020202,1.46409011249479,0.6666666666666666,0.75,0.9722222222222222,1.0,1.0,1.0,0.3333333333333333,1.0,0.25757575757575757,0.5,False
original,sigmoid colon,10x 5' v1,1,1,0,0,4983.0,0.0,3.003106671528441,0.0,,1.0,,1.0,,0.0,,0.0,,False
original,skeletal muscle tissue,10x 5' v1,3,134,14,0,4503.0,0.0,1.0146697254772872,0.6,0.7142857142857143,1.0,0.9285714285714286,0.8976377952755905,0.7142857142857143,0.5984251968503937,1.0,0.5,0.7142857142857143,False
original,spleen,10x 3' v3,2,5098,2154,0,4247.5,0.32388124161730514,1.6536418396283974,0.6145033969631783,0.6663229464233662,0.858437862159256,0.809898414271556,0.7399285706348162,0.662005188596747,0.23334559483442358,0.6134531860315979,0.38023818954698557,0.7459992421150818,False
original,spleen,10x 5' v1,6,1361,825,0,5132.75,0.5583952027412906,2.3796447545220625,0.7263965104826228,0.7595167163190997,0.8839833759590793,0.8732207878186031,0.7999011936445202,0.7624156545209176,0.6924721811216734,0.8539165237278445,0.6780370843989769,0.8051956815114709,True
original,spleen,10x 5' v2,4,1751,912,0,4039.75,0.5195777821316614,2.068360576619812,0.6656319910514541,0.7056484027924688,0.7811835850111857,0.7384281785487624,0.7903269508670521,0.7410120383595185,0.42424393425988005,0.772566823097327,0.47271096453875006,0.7853092049016814,True
original,thoracic lymph node,10x 3' v3,2,377,343,0,4401.25,0.7211844197138315,1.7513713913649844,0.6708267090620033,0.5929914529914531,0.7977742448330684,0.7935042735042734,0.7480524642289348,0.7011111111111111,0.5662162162162162,0.7226495726495726,0.6558426073131955,0.7704273504273504,False
original,thoracic lymph node,10x 5' v1,6,257,248,0,4260.25,0.9816666666666667,2.587678615769456,0.6607832322118037,0.6532956685499058,0.7638888888888888,0.7617702448210923,0.7733333333333334,0.7691110342442061,0.8792792792792793,0.9121065375302664,0.7733333333333333,0.7826011760636458,True
original,thoracic lymph node,10x 5' v2,4,177,149,0,4035.5,0.808242220353238,1.7640009697822854,0.6781609195402298,0.7065789473684211,0.732968881412952,0.7052631578947368,0.7181571815718157,0.7546052631578948,0.7457947855340623,0.8586538461538462,0.708895552223888,0.8243589743589743,False
