gene,p_green,p_red,n_pos_green,drop,d_null,resid
Fzd5,0.12727272727272726,0.08615384615384615,49,0.32307692307692304,0.12816326530612218,0.19491365777080086
Plekhm3,0.08311688311688312,0.09384615384615384,32,-0.12908653846153842,0.10250000000000005,-0.23158653846153848
Pikfyve,0.07272727272727272,0.052307692307692305,28,0.28076923076923077,0.12428571428571451,0.15648351648351627
Rpe,0.15584415584415584,0.14615384615384616,60,0.062179487179487104,0.1286666666666668,-0.06648717948717969
Kansl1l,0.11168831168831168,0.09076923076923077,43,0.18729874776386402,0.10604651162790692,0.0812522361359571
Acadl,0.32727272727272727,0.38769230769230767,126,-0.18461538461538454,0.0882539682539683,-0.2728693528693529
Lancl1,0.06233766233766234,0.06615384615384616,24,-0.06121794871794882,0.15333333333333332,-0.21455128205128216
Ikzf2,0.2805194805194805,0.35384615384615387,108,-0.26139601139601154,0.068888888888889,-0.33028490028490054
Atic,0.05714285714285714,0.07846153846153846,22,-0.37307692307692303,0.13090909090909097,-0.503986013986014
Smarcal1,0.05194805194805195,0.038461538461538464,20,0.25961538461538464,0.12799999999999997,0.13161538461538466
Rpl37a,0.9896103896103896,0.9661538461538461,381,0.023702806379971745,0.004514435695538324,0.019188370684433423
Arpc2,0.9662337662337662,0.8769230769230769,372,0.0924317617866005,0.014623655913978927,0.07780810587262157
Aamp,0.35584415584415585,0.33692307692307694,137,0.053172375070185275,0.11912408759124112,-0.06595171252105583
Pnkd,0.16883116883116883,0.16615384615384615,65,0.01585798816568049,0.11200000000000013,-0.09614201183431964
Tmbim1,0.1012987012987013,0.1123076923076923,39,-0.10867850098619318,0.11076923076923098,-0.21944773175542415
Ctdsp1,0.19480519480519481,0.12461538461538461,75,0.36030769230769233,0.11679999999999996,0.24350769230769237
Usp37,0.16363636363636364,0.12615384615384614,63,0.2290598290598291,0.11174603174603162,0.11731379731379749
Cnot9,0.06493506493506493,0.06153846153846154,25,0.052307692307692166,0.09599999999999996,-0.043692307692307794
Zfp142,0.08051948051948052,0.06307692307692307,31,0.21662531017369732,0.1264516129032258,0.09017369727047153
Cnppd1,0.22597402597402597,0.18615384615384614,87,0.17621573828470383,0.10528735632183892,0.07092838196286491
Retreg2,0.15324675324675324,0.13230769230769232,59,0.13663624511082129,0.11593220338983068,0.020704041720990607
Zfand2b,0.09610389610389611,0.09384615384615384,37,0.023492723492723567,0.09189189189189201,-0.06839916839916844
Atg9a,0.08311688311688312,0.05692307692307692,32,0.31514423076923076,0.11375000000000013,0.20139423076923063
Stk16,0.16623376623376623,0.17692307692307693,64,-0.06430288461538468,0.12187500000000014,-0.18617788461538481
Tuba4a,0.24415584415584415,0.15076923076923077,94,0.38248772504091655,0.09617021276595748,0.28631751227495905
Dnajb2,0.11948051948051948,0.07538461538461538,46,0.36906354515050166,0.12869565217391316,0.2403678929765885
Dnpep,0.11428571428571428,0.0876923076923077,44,0.23269230769230764,0.1363636363636364,0.09632867132867123
Gmppa,0.07272727272727272,0.09384615384615384,28,-0.2903846153846154,0.11285714285714284,-0.40324175824175823
Chpf,0.11168831168831168,0.08923076923076922,43,0.2010733452593918,0.15441860465116292,0.046654740608228884
Acsl3,0.05714285714285714,0.02,22,0.65,0.1145454545454546,0.5354545454545454
Utp14b,0.1012987012987013,0.02,39,0.8025641025641025,0.10358974358974364,0.6989743589743589
Ap1s3,0.08831168831168831,0.07384615384615385,34,0.1638009049773755,0.12117647058823541,0.0426244343891401
Wdfy1,0.35324675324675325,0.4153846153846154,136,-0.17590497737556565,0.07588235294117639,-0.25178733031674205
Mrpl44,0.11688311688311688,0.11076923076923077,45,0.052307692307692256,0.12800000000000006,-0.07569230769230781
Cul3,0.5064935064935064,0.43846153846153846,195,0.13431952662721885,0.08451282051282027,0.04980670611439858
Dock10,0.6883116883116883,0.6553846153846153,265,0.0478374455732947,0.06430188679245277,-0.01646444121915807
Rhbdd1,0.05194805194805195,0.04153846153846154,20,0.20038461538461544,0.10999999999999997,0.09038461538461547
Mff,0.3220779220779221,0.27384615384615385,124,0.1497518610421836,0.10870967741935496,0.041042183622828646
Agfg1,0.2779220779220779,0.25384615384615383,107,0.08662832494608194,0.1005607476635515,-0.013932422717469556
Trip12,0.4961038961038961,0.45076923076923076,191,0.09138139347563434,0.08858638743455521,0.002795006041079129
Sp110,0.6909090909090909,0.6153846153846154,266,0.10931174089068822,0.06345864661654145,0.04585309427414677
Sp140,0.2935064935064935,0.2815384615384615,113,0.0407760381211709,0.09557522123893805,-0.05479918311776715
Sp100,0.8701298701298701,0.8015384615384615,335,0.07882893226176804,0.02829850746268648,0.05053042479908156
A630001G21Rik,0.11688311688311688,0.1,45,0.14444444444444438,0.11377777777777788,0.030666666666666495
Cab39,0.509090909090909,0.42,196,0.17499999999999993,0.07469387755102029,0.10030612244897964
Itm2c,0.35324675324675325,0.29846153846153844,136,0.15509049773755662,0.10705882352941189,0.048031674208144734
Psmd1,0.22077922077922077,0.2246153846153846,85,-0.01737556561085973,0.0955294117647057,-0.11290497737556543
Armc9,0.05454545454545454,0.023076923076923078,21,0.5769230769230769,0.09904761904761879,0.4778754578754581
Ncl,0.8649350649350649,0.8553846153846154,333,0.011041811041810961,0.03507507507507519,-0.02403326403326423
Ptma,0.9792207792207792,0.9461538461538461,377,0.03376861864925528,0.0014854111405839267,0.032283207508671356
Pde6d,0.12467532467532468,0.06769230769230769,48,0.4570512820512821,0.11666666666666675,0.34038461538461534
Dis3l2,0.08831168831168831,0.10615384615384615,34,-0.2020361990950226,0.13411764705882376,-0.33615384615384636
Eif4e2,0.45194805194805193,0.36615384615384616,174,0.18983200707338632,0.07931034482758621,0.11052166224580011
Gigyf2,0.3090909090909091,0.2723076923076923,119,0.11900452488687781,0.11394957983193274,0.0050549450549450675
Inpp5d,0.6233766233766234,0.4492307692307692,240,0.2793589743589744,0.07299999999999998,0.2063589743589744
Atg16l1,0.19480519480519481,0.12153846153846154,75,0.37610256410256415,0.10986666666666677,0.2662358974358974
Dgkd,0.2857142857142857,0.19692307692307692,110,0.31076923076923074,0.10509090909090904,0.2056783216783217
Usp40,0.13506493506493505,0.1676923076923077,52,-0.24156804733727824,0.10846153846153826,-0.3500295857988165
Hjurp,0.2051948051948052,0.17692307692307693,79,0.13777994157740994,0.10886075949367081,0.02891918208373913
Arl4c,0.5558441558441558,0.47384615384615386,214,0.14751976994967642,0.07514018691588789,0.07237958303378852
Cops8,0.2727272727272727,0.20615384615384616,105,0.24410256410256403,0.09752380952380961,0.1465787545787544
Lrrfip1,0.7792207792207793,0.7107692307692308,300,0.08784615384615382,0.04439999999999989,0.04344615384615393
Ramp1,0.05454545454545454,0.12307692307692308,21,-1.2564102564102568,0.1276190476190476,-1.3840293040293044
Ube2f,0.16103896103896104,0.12153846153846154,62,0.24528535980148883,0.11741935483870965,0.12786600496277917
Scly,0.11688311688311688,0.09538461538461539,45,0.18393162393162388,0.12088888888888902,0.06304273504273486
Ilkap,0.2831168831168831,0.2276923076923077,109,0.1957657021877205,0.11045871559633033,0.08530698659139016
