tissue,assay,donor,n_nk,n_nonnk,IL15_nonNK,IL15RA_nonNK,IL2RB_NK,IL2RG_NK,CISH_NK,BCL2_NK,SOCS1_NK,PIM1_NK,CCL3_NK,CCL4_NK,CCL5_NK,XCL1_NK
lung,10x 3' v3,D496,808,1304,0.02147239263803681,0.029141104294478526,0.6534653465346535,0.8267326732673267,0.008663366336633664,0.21534653465346534,0.36014851485148514,0.4430693069306931,0.8044554455445545,0.9356435643564357,0.8551980198019802,0.11386138613861387
lung,10x 3' v3,D503,2072,2675,0.016822429906542057,0.034392523364485984,0.7591698841698842,0.7577220077220077,0.05405405405405406,0.35424710424710426,0.3527992277992278,0.5598455598455598,0.750965250965251,0.8875482625482626,0.7046332046332047,0.27606177606177607
lung,10x 5' v1,A29,125,574,0.03832752613240418,0.11498257839721254,0.864,0.872,0.144,0.2,0.496,0.584,0.752,0.984,0.904,0.68
lung,10x 5' v1,A31,18,345,0.014492753623188406,0.04927536231884058,0.6666666666666666,0.8333333333333334,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.5,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.6111111111111112
lung,10x 5' v1,A35,6,34,0.029411764705882353,0.058823529411764705,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.5,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.5
lung,10x 5' v1,A36,51,207,0.033816425120772944,0.08695652173913043,0.9019607843137255,0.8431372549019608,0.0784313725490196,0.0196078431372549,0.47058823529411764,0.5098039215686274,0.45098039215686275,0.8431372549019608,0.7843137254901961,0.23529411764705882
lung,10x 5' v1,A37,8,81,0.024691358024691357,0.19753086419753085,0.625,0.5,0.0,0.25,0.375,0.5,0.375,0.875,0.875,0.625
lung,10x 5' v1,A52,116,304,0.046052631578947366,0.08223684210526316,0.4224137931034483,0.9568965517241379,0.23275862068965517,0.14655172413793102,0.1896551724137931,0.43103448275862066,0.7241379310344828,0.9396551724137931,0.8189655172413793,0.33620689655172414
lung,10x 5' v2,637C,19,51,0.0,0.058823529411764705,0.631578947368421,0.7368421052631579,0.0,0.47368421052631576,0.7368421052631579,0.47368421052631576,0.7894736842105263,0.8947368421052632,0.9473684210526315,0.10526315789473684
lung,10x 5' v2,640C,10,44,0.09090909090909091,0.045454545454545456,0.8,1.0,0.1,0.3,0.5,0.7,0.8,0.8,0.9,0.2
spleen,10x 3' v3,D496,1459,7913,0.03601668141033742,0.02957159105269809,0.5956134338588074,0.8745716244002741,0.026730637422892393,0.16655243317340646,0.2570253598355038,0.39136394790952705,0.6052090472926662,0.9163810829335161,0.8588074023303632,0.08361891706648389
spleen,10x 3' v3,D503,3639,6071,0.01235381321034426,0.03590841706473398,0.7592745259686727,0.7851057982962353,0.025831272327562518,0.15471283319593296,0.41467436108821104,0.3492717779609783,0.6237977466336906,0.8004946413849959,0.6210497389392691,0.38307227260236326
spleen,10x 5' v1,A29,136,1289,0.035686578743211794,0.06283941039565555,0.9338235294117647,0.9264705882352942,0.11764705882352941,0.33088235294117646,0.40441176470588236,0.6911764705882353,0.6911764705882353,0.8897058823529411,0.7573529411764706,0.8529411764705882
spleen,10x 5' v1,A31,64,996,0.03112449799196787,0.05823293172690763,0.90625,0.90625,0.09375,0.203125,0.390625,0.609375,0.765625,0.875,0.703125,0.96875
spleen,10x 5' v1,A35,206,767,0.03259452411994785,0.10821382007822686,0.8543689320388349,0.8786407766990292,0.11165048543689321,0.1407766990291262,0.5339805825242718,0.5048543689320388,0.7281553398058253,0.9271844660194175,0.8883495145631068,0.7669902912621359
spleen,10x 5' v1,A36,479,3097,0.048111075234097515,0.05134000645786245,0.9144050104384134,0.9269311064718163,0.03549060542797495,0.08350730688935282,0.6388308977035491,0.3444676409185804,0.8079331941544885,0.918580375782881,0.8288100208768268,0.6179540709812108
spleen,10x 5' v1,A37,345,979,0.03268641470888662,0.05720122574055159,0.663768115942029,0.8521739130434782,0.04057971014492753,0.14202898550724638,0.7536231884057971,0.32463768115942027,0.7246376811594203,0.8782608695652174,0.8927536231884058,0.4260869565217391
spleen,10x 5' v1,A52,131,276,0.04710144927536232,0.06884057971014493,0.6717557251908397,0.7938931297709924,0.07633587786259542,0.09923664122137404,0.061068702290076333,0.3816793893129771,0.5190839694656488,0.7633587786259542,0.7709923664122137,0.21374045801526717
spleen,10x 5' v2,582C,447,2546,0.014139827179890024,0.018460329929300863,0.767337807606264,0.843400447427293,0.02237136465324385,0.12080536912751678,0.40939597315436244,0.37583892617449666,0.6062639821029083,0.7404921700223713,0.7337807606263982,0.5525727069351231
spleen,10x 5' v2,621B,320,1500,0.011333333333333334,0.03866666666666667,0.690625,0.80625,0.03125,0.221875,0.490625,0.53125,0.725,0.821875,0.765625,0.359375
spleen,10x 5' v2,637C,638,3109,0.019942103570279833,0.039562560308780956,0.780564263322884,0.9012539184952978,0.02664576802507837,0.12539184952978055,0.49059561128526646,0.40282131661442006,0.799373040752351,0.8557993730407524,0.8213166144200627,0.4843260188087774
spleen,10x 5' v2,640C,346,1974,0.03850050658561297,0.06990881458966565,0.8236994219653179,0.884393063583815,0.06936416184971098,0.21098265895953758,0.33236994219653176,0.6098265895953757,0.5,0.7109826589595376,0.815028901734104,0.36416184971098264
liver,10x 5' v1,A29,64,268,0.026119402985074626,0.06343283582089553,0.890625,0.84375,0.25,0.234375,0.375,0.59375,0.78125,0.875,0.75,0.796875
liver,10x 5' v1,A31,141,1121,0.021409455842997322,0.031222123104371096,0.7872340425531915,0.851063829787234,0.07801418439716312,0.1347517730496454,0.23404255319148937,0.4326241134751773,0.75177304964539,0.8652482269503546,0.8014184397163121,0.723404255319149
liver,10x 5' v1,A35,63,127,0.031496062992125984,0.11811023622047244,0.9523809523809523,0.9365079365079365,0.2222222222222222,0.09523809523809523,0.06349206349206349,0.6349206349206349,0.8095238095238095,0.9682539682539683,0.9206349206349206,0.7777777777777778
liver,10x 5' v1,A36,609,609,0.014778325123152709,0.009852216748768473,0.6847290640394089,0.49917898193760263,0.0016420361247947454,0.0180623973727422,0.11330049261083744,0.090311986863711,0.7931034482758621,0.7799671592775042,0.6666666666666666,0.4614121510673235
liver,10x 5' v1,A52,638,557,0.05206463195691203,0.09515260323159784,0.8808777429467085,0.9122257053291536,0.19122257053291536,0.19435736677115986,0.19278996865203762,0.542319749216301,0.7586206896551724,0.8808777429467085,0.7899686520376176,0.603448275862069
liver,10x 5' v2,637C,955,1618,0.030284301606922127,0.06551297898640297,0.8219895287958116,0.8722513089005236,0.04293193717277487,0.16753926701570682,0.4272251308900524,0.4397905759162304,0.8104712041884817,0.8544502617801047,0.8586387434554974,0.4617801047120419
liver,10x 5' v2,640C,1117,2124,0.04143126177024482,0.06450094161958568,0.8316920322291853,0.928379588182632,0.11817367949865712,0.3079677708146822,0.37511190689346463,0.6947179946284691,0.7278424350940018,0.8710832587287377,0.8504923903312444,0.3455684870188004
duodenum,10x 5' v1,A31,4,515,0.05825242718446602,0.04271844660194175,1.0,0.75,0.25,0.25,0.25,0.25,0.5,0.75,1.0,0.5
duodenum,10x 5' v1,A35,0,3,0.0,0.0,,,,,,,,,,
duodenum,10x 5' v1,A37,1,15,0.0,0.06666666666666667,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
ileum,10x 5' v1,A29,0,313,0.05750798722044728,0.11501597444089456,,,,,,,,,,
ileum,10x 5' v1,A31,0,27,0.037037037037037035,0.037037037037037035,,,,,,,,,,
ileum,10x 5' v1,A35,0,29,0.0,0.034482758620689655,,,,,,,,,,
ileum,10x 5' v1,A36,1,41,0.0,0.07317073170731707,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ileum,10x 5' v1,A37,0,287,0.041811846689895474,0.05574912891986063,,,,,,,,,,
thymus,10x 5' v1,A31,2,289,0.0,0.010380622837370242,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5
bone marrow,10x 3' v3,D496,1884,9333,0.03417979213543341,0.023679417122040074,0.554140127388535,0.8720806794055201,0.027600849256900213,0.18418259023354563,0.2945859872611465,0.40445859872611467,0.7595541401273885,0.9676220806794055,0.8842887473460722,0.08333333333333333
bone marrow,10x 3' v3,D503,4988,6936,0.0132641291810842,0.030420991926182236,0.7319566960705693,0.8482357658380112,0.04611066559743384,0.23937449879711306,0.2987169206094627,0.3959502806736167,0.7107056936647955,0.9065757818765036,0.7004811547714515,0.22373696872493987
bone marrow,10x 5' v1,A29,185,689,0.027576197387518143,0.018867924528301886,0.8324324324324325,0.7675675675675676,0.02702702702702703,0.2756756756756757,0.3027027027027027,0.2,0.4810810810810811,0.8432432432432433,0.8378378378378378,0.4540540540540541
bone marrow,10x 5' v1,A31,19,189,0.042328042328042326,0.042328042328042326,0.8947368421052632,0.8421052631578947,0.10526315789473684,0.10526315789473684,0.5789473684210527,0.5263157894736842,0.8421052631578947,1.0,0.7368421052631579,0.3157894736842105
bone marrow,10x 5' v1,A35,159,660,0.025757575757575757,0.0696969696969697,0.8616352201257862,0.9056603773584906,0.11320754716981132,0.2830188679245283,0.3584905660377358,0.44654088050314467,0.8679245283018868,0.9811320754716981,0.9182389937106918,0.6981132075471698
bone marrow,10x 5' v1,A36,74,587,0.044293015332197615,0.030664395229982964,0.7027027027027027,0.7567567567567568,0.013513513513513514,0.08108108108108109,0.2972972972972973,0.3108108108108108,0.6216216216216216,0.8108108108108109,0.7702702702702703,0.20270270270270271
bone marrow,10x 5' v1,A37,164,309,0.012944983818770227,0.038834951456310676,0.7317073170731707,0.8902439024390244,0.11585365853658537,0.27439024390243905,0.5792682926829268,0.45121951219512196,0.8170731707317073,0.9024390243902439,0.926829268292683,0.18902439024390244
bone marrow,10x 5' v2,621B,33,530,0.026415094339622643,0.024528301886792454,0.6363636363636364,0.7272727272727273,0.030303030303030304,0.30303030303030304,0.42424242424242425,0.45454545454545453,0.6363636363636364,0.8484848484848485,0.7878787878787878,0.30303030303030304
bone marrow,10x 5' v2,637C,384,878,0.02733485193621868,0.03644646924829157,0.8046875,0.84375,0.03125,0.13802083333333334,0.4661458333333333,0.3151041666666667,0.734375,0.84375,0.8645833333333334,0.2786458333333333
bone marrow,10x 5' v2,640C,336,841,0.026159334126040427,0.052318668252080855,0.8422619047619048,0.9464285714285714,0.15178571428571427,0.34523809523809523,0.26785714285714285,0.6636904761904762,0.6160714285714286,0.8214285714285714,0.8898809523809523,0.25595238095238093
mesenteric lymph node,10x 5' v1,A29,5,2164,0.0023105360443622922,0.0166358595194085,0.8,0.8,0.0,0.2,0.2,0.8,0.8,0.8,0.8,1.0
mesenteric lymph node,10x 5' v1,A31,8,1808,0.014933628318584071,0.032079646017699116,0.875,0.875,0.0,0.125,0.25,0.125,1.0,1.0,1.0,0.75
mesenteric lymph node,10x 5' v1,A35,14,1383,0.009399855386840203,0.05278380332610268,0.8571428571428571,0.9285714285714286,0.14285714285714285,0.07142857142857142,0.5,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.8571428571428571
mesenteric lymph node,10x 5' v1,A36,11,744,0.012096774193548387,0.06048387096774194,1.0,0.9090909090909091,0.0,0.18181818181818182,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.5454545454545454
mesenteric lymph node,10x 5' v1,A37,3,148,0.02702702702702703,0.06756756756756757,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666
mesenteric lymph node,10x 5' v2,582C,0,20,0.05,0.0,,,,,,,,,,
mesenteric lymph node,10x 5' v2,621B,50,1392,0.010057471264367816,0.020114942528735632,0.58,0.74,0.0,0.14,0.5,0.42,0.62,0.54,0.74,0.3
