batch,patient,condition,lineage,n_cells,mode
55,596,ambiguous,CD4T,93,hashed
55,596,ambiguous,B,40,hashed
55,596,ambiguous,Myeloid,143,hashed
55,596,ambiguous,unassigned,64,hashed
56,630,Normal,NK,498,hashed
56,630,Normal,CD8T,777,hashed
56,630,Normal,CD4T,1092,hashed
56,630,Normal,B,832,hashed
56,630,Normal,Myeloid,3096,hashed
56,630,Normal,unassigned,1242,hashed
56,630,Tumor,NK,521,hashed
56,630,Tumor,CD8T,673,hashed
56,630,Tumor,CD4T,1220,hashed
56,630,Tumor,B,911,hashed
56,630,Tumor,Myeloid,1999,hashed
56,630,Tumor,unassigned,1131,hashed
56,630,ambiguous,NK,226,hashed
56,630,ambiguous,CD8T,223,hashed
56,630,ambiguous,CD4T,382,hashed
56,630,ambiguous,B,395,hashed
56,630,ambiguous,Myeloid,1044,hashed
56,630,ambiguous,unassigned,599,hashed
88,626,Normal,NK,603,hashed
88,626,Normal,CD8T,426,hashed
88,626,Normal,CD4T,855,hashed
88,626,Normal,B,557,hashed
88,626,Normal,Myeloid,3197,hashed
88,626,Normal,unassigned,1203,hashed
88,626,Tumor,NK,161,hashed
88,626,Tumor,CD8T,693,hashed
88,626,Tumor,CD4T,1404,hashed
88,626,Tumor,B,1303,hashed
88,626,Tumor,Myeloid,3827,hashed
88,626,Tumor,unassigned,594,hashed
88,626,ambiguous,NK,150,hashed
88,626,ambiguous,CD8T,188,hashed
88,626,ambiguous,CD4T,344,hashed
88,626,ambiguous,B,310,hashed
88,626,ambiguous,Myeloid,1301,hashed
88,626,ambiguous,unassigned,455,hashed
89,626,Normal,NK,282,hashed
89,626,Normal,CD8T,192,hashed
89,626,Normal,CD4T,346,hashed
89,626,Normal,B,263,hashed
89,626,Normal,Myeloid,1130,hashed
89,626,Normal,unassigned,535,hashed
89,626,Tumor,NK,104,hashed
89,626,Tumor,CD8T,320,hashed
89,626,Tumor,CD4T,708,hashed
89,626,Tumor,B,556,hashed
89,626,Tumor,Myeloid,1387,hashed
89,626,Tumor,unassigned,314,hashed
89,626,ambiguous,NK,86,hashed
89,626,ambiguous,CD8T,65,hashed
89,626,ambiguous,CD4T,138,hashed
89,626,ambiguous,B,107,hashed
89,626,ambiguous,Myeloid,662,hashed
89,626,ambiguous,unassigned,220,hashed
90,695,Normal,NK,378,hashed
90,695,Normal,CD8T,395,hashed
90,695,Normal,CD4T,1440,hashed
90,695,Normal,B,431,hashed
90,695,Normal,Myeloid,1092,hashed
90,695,Normal,unassigned,721,hashed
90,695,PBMC,NK,354,hashed
90,695,PBMC,CD8T,221,hashed
90,695,PBMC,CD4T,497,hashed
90,695,PBMC,B,463,hashed
90,695,PBMC,Myeloid,785,hashed
90,695,PBMC,unassigned,323,hashed
90,695,Tumor,NK,272,hashed
90,695,Tumor,CD8T,360,hashed
90,695,Tumor,CD4T,670,hashed
90,695,Tumor,B,1584,hashed
90,695,Tumor,Myeloid,1321,hashed
90,695,Tumor,unassigned,744,hashed
90,695,ambiguous,NK,276,hashed
90,695,ambiguous,CD8T,182,hashed
90,695,ambiguous,CD4T,410,hashed
90,695,ambiguous,B,411,hashed
90,695,ambiguous,Myeloid,706,hashed
90,695,ambiguous,unassigned,519,hashed
90,695,mouse,NK,17,hashed
90,695,mouse,CD8T,4,hashed
90,695,mouse,CD4T,4,hashed
90,695,mouse,B,90,hashed
90,695,mouse,Myeloid,26,hashed
90,695,mouse,unassigned,27,hashed
91,695,Normal,NK,368,hashed
91,695,Normal,CD8T,420,hashed
91,695,Normal,CD4T,1349,hashed
91,695,Normal,B,415,hashed
91,695,Normal,Myeloid,1204,hashed
91,695,Normal,unassigned,615,hashed
91,695,PBMC,NK,385,hashed
91,695,PBMC,CD8T,236,hashed
91,695,PBMC,CD4T,504,hashed
91,695,PBMC,B,439,hashed
91,695,PBMC,Myeloid,748,hashed
91,695,PBMC,unassigned,279,hashed
91,695,Tumor,NK,292,hashed
91,695,Tumor,CD8T,389,hashed
91,695,Tumor,CD4T,608,hashed
91,695,Tumor,B,1560,hashed
91,695,Tumor,Myeloid,1353,hashed
91,695,Tumor,unassigned,669,hashed
91,695,ambiguous,NK,247,hashed
91,695,ambiguous,CD8T,203,hashed
91,695,ambiguous,CD4T,416,hashed
91,695,ambiguous,B,447,hashed
91,695,ambiguous,Myeloid,691,hashed
91,695,ambiguous,unassigned,488,hashed
91,695,mouse,NK,8,hashed
91,695,mouse,CD8T,3,hashed
91,695,mouse,CD4T,1,hashed
91,695,mouse,B,88,hashed
91,695,mouse,Myeloid,31,hashed
91,695,mouse,unassigned,11,hashed
92,695,Normal,NK,398,hashed
92,695,Normal,CD8T,492,hashed
92,695,Normal,CD4T,1300,hashed
92,695,Normal,B,540,hashed
92,695,Normal,Myeloid,1155,hashed
92,695,Normal,unassigned,694,hashed
92,695,PBMC,NK,288,hashed
