definition,tissue,assay,n_donors,n_nk,top_donor_share,median_umi,bright_frac,stress,insufficient,CCL3,CCL3_iqr,CCL3_bright,CCL3_floor,CCL4,CCL4_iqr,CCL4_bright,CCL4_floor,CCL5,CCL5_iqr,CCL5_bright,CCL5_floor,XCL1,XCL1_iqr,XCL1_bright,XCL1_floor,XCL2,XCL2_iqr,XCL2_bright,XCL2_floor
author,bone marrow,10x 5' v2,3,753,0.5099601593625498,4549.0,0.2121212121212121,1.707079113749755,one donor 51% of cells,0.6363636363636364,0.05915178571428559,0.4210526315789473,False,0.84375,0.013528138528138611,0.7142857142857143,False,0.8645833333333334,0.05100108225108224,0.8041237113402062,False,0.2786458333333333,0.023538961038961026,0.7894736842105263,False,0.4401041666666667,0.14177489177489178,0.8157894736842105,False
author,jejunal epithelium,10x 5' v2,3,66,0.5303030303030303,2947.0,1.0,1.5903527891332048,NK 66<200; one donor 53% of cells,0.6,0.22747252747252744,0.6,False,0.6,0.2697802197802198,0.6,False,0.9142857142857144,0.2692307692307693,0.88,False,0.8,0.1186813186813187,0.84,False,0.8,0.1901098901098901,0.8,False
author,jejunum lamina propria,10x 5' v2,3,71,0.7746478873239436,3397.5,0.509090909090909,1.6253868121906372,NK 71<200; one donor 77% of cells,0.5,0.050000000000000044,0.5,False,0.75,0.28409090909090917,0.5714285714285714,False,0.5833333333333334,0.32954545454545464,0.4285714285714285,False,0.5,0.14772727272727276,0.8571428571428571,False,0.75,0.1803030303030304,0.8571428571428571,False
author,liver,10x 5' v2,2,2072,0.5390926640926641,4643.0,0.35452713185561546,2.1283765767088525,donors 2<3; one donor 54% of cells,0.7691568196412417,0.04131438454724001,0.7548061505223893,False,0.8627667602544212,0.00831649847431648,0.813332320623829,False,0.8545655668933709,0.004073176562126579,0.7473838337806133,False,0.40367429586542114,0.058105808846620755,0.8489628166827012,False,0.425483836191744,0.11483029993391053,0.7799972994413219,False
author,lung,10x 5' v2,2,29,0.6551724137931034,4852.25,0.1789473684210526,1.8031022207622032,donors 2<3; NK 29<200; one donor 66% of cells,0.7947368421052632,0.0052631578947368585,0.5833333333333333,False,0.8473684210526315,0.047368421052631615,0.5,False,0.9236842105263159,0.023684210526315863,0.75,False,0.1526315789473684,0.047368421052631615,0.5833333333333333,False,0.33684210526315783,0.13684210526315782,0.75,False
author,mesenteric lymph node,10x 5' v2,3,950,0.8357894736842105,4519.0,0.72,1.789281811101312,one donor 84% of cells,0.62,0.09293759802290769,0.5980392156862745,False,0.6509433962264151,0.14309823677581868,0.6470588235294118,False,0.74,0.07658856518226331,0.7104677060133631,False,0.4848866498740554,0.2698113207547169,0.7260579064587973,False,0.5491183879093199,0.2079245283018868,0.7171492204899778,False
author,spleen,10x 5' v2,4,1751,0.364363221016562,4039.75,0.5195777821316614,2.068360576619812,,0.6656319910514541,0.1638952736109065,0.7056484027924688,False,0.7811835850111857,0.09724130100352524,0.7384281785487624,False,0.7903269508670521,0.05893688974899414,0.7410120383595185,False,0.42424393425988,0.1384225535571269,0.772566823097327,False,0.47271096453875006,0.22545744176810228,0.7853092049016814,False
author,thoracic lymph node,10x 5' v2,4,177,0.3898305084745763,4035.5,0.808242220353238,1.7640009697822854,NK 177<200,0.6781609195402298,0.12408125205689846,0.7065789473684211,False,0.732968881412952,0.18461297806381372,0.7052631578947368,False,0.7181571815718157,0.14846387781718895,0.7546052631578948,False,0.7457947855340623,0.26807581981367035,0.8586538461538462,False,0.708895552223888,0.2129321518102737,0.8243589743589743,False
uniform,blood,10x 3' v3,2,330,0.7515151515151515,4363.5,0.3070416994492525,1.1086397712511473,donors 2<3; one donor 75% of cells,0.4448269079464988,0.12775373721479155,0.3563218390804598,False,0.698514948859166,0.03319236821400473,0.6925287356321839,False,0.769669551534225,0.10837922895357988,0.6925287356321839,False,0.16940401258851295,0.15720889063729346,0.25862068965517243,False,0.329022423288749,0.23146144767899288,0.35201149425287354,False
uniform,bone marrow,10x 3' v3,2,1318,0.8831562974203339,4704.0,0.1595260409693399,1.5098210607264027,donors 2<3; one donor 88% of cells,0.7288570535993217,0.02438969964743165,0.6534883720930232,False,0.9352267148658902,0.032305752666577425,0.8193798449612403,False,0.7977083054402642,0.09839559066363202,0.6182170542635659,False,0.18095349667514615,0.09653791225956176,0.3515503875968992,False,0.4600682822332307,0.12240594457089304,0.5821705426356589,False
