labelling,tissue,assay,donor,n_nk,n_bright,n_unclass,median_umi,bright_frac,stress,CCL3,CCL3_bright,CCL4,CCL4_bright,CCL5,CCL5_bright,XCL1,XCL1_bright,XCL2,XCL2_bright
original,mesenteric lymph node,10x 5' v1,A29,5,5,0,3709.0,1.0,1.591655775111779,0.8,0.8,0.8,0.8,0.8,0.8,1.0,1.0,0.6,0.6
original,mesenteric lymph node,10x 5' v1,A31,8,7,0,7351.5,0.875,1.5141506041091186,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.375,0.42857142857142855
original,mesenteric lymph node,10x 5' v1,A35,14,14,0,5050.5,1.0,2.4789837017473957,0.6428571428571429,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.7857142857142857
original,mesenteric lymph node,10x 5' v1,A36,11,11,0,5051.0,1.0,2.458010753267123,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.7272727272727273,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.7272727272727273
original,mesenteric lymph node,10x 5' v1,A37,3,3,0,4728.0,1.0,1.5918681137385589,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0
original,mesenteric lymph node,10x 5' v2,621B,50,36,0,2777.5,0.72,1.789281811101312,0.62,0.5833333333333334,0.54,0.5,0.74,0.8055555555555556,0.3,0.4166666666666667,0.32,0.4166666666666667
original,mesenteric lymph node,10x 5' v2,637C,794,449,0,4519.0,0.5654911838790933,1.5126752213718941,0.7707808564231738,0.7438752783964365,0.8261964735516373,0.7572383073496659,0.7758186397984886,0.7104677060133631,0.48488664987405544,0.7260579064587973,0.5491183879093199,0.7171492204899778
original,mesenteric lymph node,10x 5' v2,640C,106,102,0,4895.5,0.9622641509433962,1.9733726461180576,0.5849056603773585,0.5980392156862745,0.6509433962264151,0.6470588235294118,0.6226415094339622,0.6176470588235294,0.839622641509434,0.8431372549019608,0.7358490566037735,0.7450980392156863
original,omentum,10x 5' v1,A31,1,0,0,3217.0,0.0,0.47101821050626014,0.0,,1.0,,1.0,,1.0,,0.0,
original,omentum,10x 5' v1,A35,11,2,0,2430.0,0.18181818181818182,1.609876263561811,0.8181818181818182,0.5,0.8181818181818182,0.5,0.5454545454545454,1.0,0.2727272727272727,1.0,0.18181818181818182,0.5
original,omentum,10x 5' v1,A36,18,4,0,5621.0,0.2222222222222222,1.5937821798563228,0.6666666666666666,0.75,0.9444444444444444,1.0,1.0,1.0,0.3333333333333333,1.0,0.5555555555555556,1.0
original,omentum,10x 5' v1,A37,3,1,0,3436.0,0.3333333333333333,1.3343980451332575,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.0
original,thoracic lymph node,10x 3' v3,D496,37,18,0,4500.0,0.4864864864864865,1.2522498751351625,0.5945945945945946,0.4444444444444444,0.7837837837837838,0.7777777777777778,0.8108108108108109,0.7222222222222222,0.43243243243243246,0.7222222222222222,0.5675675675675675,0.7777777777777778
original,thoracic lymph node,10x 3' v3,D503,340,325,0,4302.5,0.9558823529411765,2.2504929075948064,0.7470588235294118,0.7415384615384616,0.8117647058823529,0.8092307692307692,0.6852941176470588,0.68,0.7,0.7230769230769231,0.7441176470588236,0.7630769230769231
original,thoracic lymph node,10x 5' v1,A29,49,45,0,4320.0,0.9183673469387755,2.570166784841446,0.5918367346938775,0.5777777777777777,0.6122448979591837,0.5777777777777777,0.6938775510204082,0.6888888888888889,0.9387755102040817,0.9555555555555556,0.6326530612244898,0.6444444444444445
