batch,condition,lineage,rho_per_sample,rho_pooled,rho_wide
46,Normal,CD4T,0.02783263152122474,0.02783263152122474,0.04017868111597623
46,Normal,B,0.6144105223171558,0.6144105223171558,1.0
46,Normal,Myeloid,0.071583054836073,0.071583054836073,0.23361671757054012
45,Tumor,NK,0.34770405038553265,0.34770405038553265,0.5024939715650281
45,Tumor,CD8T,0.08107879914684021,0.08107879914684021,0.07669796357526548
45,Tumor,CD4T,0.063655287608939,0.063655287608939,0.0615240874829622
45,Tumor,B,0.15302386580889846,0.15302386580889846,0.13747387510343892
45,Tumor,Myeloid,0.1295983283986641,0.1295983283986641,0.1370349411456008
47,Tumor,NK,0.16193989569917713,0.16193989569917713,0.282386574964519
47,Tumor,CD8T,0.08210929352663686,0.08210929352663686,0.06574135835181802
47,Tumor,CD4T,0.09651083121279953,0.09651083121279953,0.06977993618351983
47,Tumor,B,0.17700868607996714,0.17700868607996714,0.209305353722957
47,Tumor,Myeloid,0.08188188204478059,0.08188188204478059,0.2108163952301026
48,Tumor,NK,0.055081838148056624,0.14534386793938342,0.12186327957479069
48,Normal,NK,0.18445556492947893,0.14534386793938342,0.46194075392054934
48,Tumor,CD8T,0.07389191467144748,0.11304306408364323,0.1252557881963711
48,Normal,CD8T,0.17671084495867073,0.11304306408364323,0.1994331842719108
48,Tumor,CD4T,0.02582882546180682,0.025462710315219753,0.02719946650550467
48,Normal,CD4T,0.024959850622087096,0.025462710315219753,0.04592972336927155
48,Tumor,B,0.26169816857670664,0.251715047858741,0.09139436988048721
48,Normal,B,0.23114101449563718,0.251715047858741,1.0
48,Tumor,Myeloid,0.0345519638488289,0.02778729966918931,0.04544155529082271
48,Normal,Myeloid,0.02490164752407212,0.02778729966918931,0.04280172828200888
49,Normal,NK,0.3468903918124507,0.3468903918124507,0.861949829695796
49,Normal,CD8T,0.057812722518454165,0.057812722518454165,0.1442965536221897
49,Normal,CD4T,0.05453080517186929,0.05453080517186929,0.11036830941665479
49,Normal,B,0.20270863568543676,0.20270863568543676,1.0
49,Normal,Myeloid,0.06288357765881919,0.06288357765881919,0.14907238958261929
50,Tumor,NK,0.9690005441289473,0.9690005441289473,0.7838257686518196
50,Tumor,CD8T,0.09580289897358209,0.09580289897358209,0.0873568867559147
50,Tumor,CD4T,0.068470163101954,0.068470163101954,0.06885576568592428
50,Tumor,B,0.138369565795326,0.138369565795326,0.2845336029142393
50,Tumor,Myeloid,0.1237120036580889,0.1237120036580889,0.16715113612268193
51,Tumor,NK,0.14445198480694377,0.06329389270032154,0.11367446860720126
51,Normal,NK,0.02146654870777074,0.06329389270032154,0.025204159601716555
51,Tumor,CD8T,0.01457037882805893,0.015224042340593153,0.017020601637273078
51,Normal,CD8T,0.01650540910106494,0.015224042340593153,0.018738292456849392
51,Tumor,CD4T,0.013192430773068099,0.013623087944072654,0.015834784840648358
51,Normal,CD4T,0.014969180493168243,0.013623087944072654,0.016962743024682557
51,Tumor,B,0.35056477193725744,0.2987888430308434,0.1528852488151459
51,Normal,B,0.0761842421787951,0.2987888430308434,0.09734166398124433
51,Tumor,Myeloid,0.014817395275958543,0.015570336465135394,0.021982095878914892
51,Normal,Myeloid,0.01739406887210056,0.015570336465135394,0.021930746916202396
52,Tumor,NK,0.02211239489046132,0.04772742637524721,0.10323103407701772
52,Normal,NK,0.0674924269357972,0.04772742637524721,0.18010362989384077
52,Tumor,CD8T,0.015536953385588272,0.014906655406939962,0.01607775723295585
52,Normal,CD8T,0.013715024339486973,0.014906655406939962,0.016482296339522234
52,Tumor,CD4T,0.01294719163346984,0.012995968869885789,0.014320114952664994
52,Normal,CD4T,0.013130971812312119,0.012995968869885789,0.01656589159140907
52,Tumor,B,0.40083973700809633,0.44596847418919594,0.16316244998544033
52,Normal,B,0.8504473586028484,0.44596847418919594,0.4929216891326814
52,Tumor,Myeloid,0.05379518490350424,0.045416129514694946,0.04623938168717986
52,Normal,Myeloid,0.02548518567292466,0.045416129514694946,0.027869694837206953
54,Tumor,NK,0.21843384241640876,0.10534278614237685,0.14737162414014715
54,Normal,NK,0.04233199571804506,0.10534278614237685,0.07931796193939308
54,Tumor,CD8T,0.03926010246905812,0.03905445567090314,0.052405907699257105
54,Normal,CD8T,0.03883320196249568,0.03905445567090314,0.17632300364165412
54,Tumor,CD4T,0.03868621771118413,0.03700887745729779,0.04982574667570656
54,Normal,CD4T,0.034956088000690604,0.03700887745729779,0.05378536505641356
54,Tumor,B,0.22368188657180188,0.3142375279648058,0.2068983817030448
54,Normal,B,0.6939386959991064,0.3142375279648058,0.4756804074137215
54,Tumor,Myeloid,0.11457695838664649,0.08492675661339522,0.09324341907289845
54,Normal,Myeloid,0.03907634809691262,0.08492675661339522,0.05878213999065153
55,Tumor,NK,1.0,1.0,1.0
55,Normal,NK,0.061831779814529524,1.0,0.07735664876932791
55,Tumor,CD8T,0.035777439808905215,0.036367172954845914,0.052052975426369934
55,Normal,CD8T,0.037067865294229896,0.036367172954845914,0.05341316477512338
55,Tumor,CD4T,0.14918842530748777,0.10028106551227747,0.09761369790254448
55,Normal,CD4T,0.0310078768879719,0.10028106551227747,0.05609867068405509
55,Tumor,B,0.2010937479840298,0.23834208557837985,0.2930193827559874
55,Normal,B,0.3829290619310219,0.23834208557837985,0.392416360244189
55,Tumor,Myeloid,0.08475872627630376,0.06516407396958722,0.14996612756715472
55,Normal,Myeloid,0.03689860679300354,0.06516407396958722,0.05678834966997413
53,Tumor,NK,0.04693842296130214,0.046458830493667794,1.0
53,Normal,NK,0.046356969959827736,0.046458830493667794,1.0
53,Tumor,CD8T,0.060356776716363914,0.05115348926865263,0.07860305092395836
53,Normal,CD8T,0.04968525692734259,0.05115348926865263,0.22496476144484875
53,Tumor,CD4T,0.03343802381526854,0.04194130350838603,0.27638511294301754
53,Normal,CD4T,0.04300692568399856,0.04194130350838603,0.17744927528983806
53,Tumor,B,0.15812902585191746,0.1197107229009022,0.607171602776488
53,Normal,B,0.11074224676216322,0.1197107229009022,0.7155798970911492
53,Tumor,Myeloid,0.034359779174763364,0.03903292264804486,0.2280727958450738
53,Normal,Myeloid,0.04184563088022473,0.03903292264804486,0.9856269959526498
56,Tumor,NK,0.1229707683636892,0.11856590848068684,0.11961283495816417
56,Normal,NK,0.1136660996589664,0.11856590848068684,0.11988041523069697
56,Tumor,CD8T,0.28030176306033444,0.19448971516304053,0.25536662637283736
56,Normal,CD8T,0.11212383960244239,0.19448971516304053,0.11394994103017518
56,Tumor,CD4T,0.09827908297824393,0.10128115850092072,0.09297285070807394
56,Normal,CD4T,0.10523162865562612,0.10128115850092072,0.1012646094936902
56,Tumor,B,0.3292900843834742,0.4285137826865936,0.29801187973161225
56,Normal,B,0.7083424019520342,0.4285137826865936,1.0
56,Tumor,Myeloid,0.11226741378190955,0.07945491939769801,0.10657315581656313
56,Normal,Myeloid,0.06778256885848374,0.07945491939769801,0.0766632625445373
89,Tumor,NK,0.18306711718249188,0.14885482163405112,0.28622567429815715
89,Normal,NK,0.14142803533478848,0.14885482163405112,0.22526564886208822
89,Tumor,CD8T,0.0878748739584842,0.11828337180648775,0.09441644266548314
89,Normal,CD8T,0.17170769413663942,0.11828337180648775,0.14673920997995377
89,Tumor,CD4T,0.07235350352323175,0.06957191788929455,0.08862684678133077
89,Normal,CD4T,0.06419659192501946,0.06957191788929455,0.11489088533282237
89,Tumor,B,0.17019181847469778,0.26669572303402633,0.21765175227723602
89,Normal,B,0.5110751223967589,0.26669572303402633,1.0
89,Tumor,Myeloid,0.05476562418985399,0.052846479140795204,0.1268422362450656
89,Normal,Myeloid,0.049558033312025,0.052846479140795204,0.08053607559193772
88,Tumor,NK,0.14889133792700485,0.0842345389181274,0.2753047412604814
88,Normal,NK,0.06581785905807704,0.0842345389181274,0.1202608623346827
88,Tumor,CD8T,0.0638503072249647,0.2591145973537324,0.1032924900465236
88,Normal,CD8T,0.575225771533265,0.2591145973537324,0.4311937928178568
88,Tumor,CD4T,0.05819671118672654,0.05604537034575493,0.10985267719934141
88,Normal,CD4T,0.05277106479080749,0.05604537034575493,0.5396790468521622
88,Tumor,B,0.2633384701629115,0.6235375234254644,1.0
88,Normal,B,1.0,0.6235375234254644,1.0
88,Tumor,Myeloid,0.04469703800982269,0.04251988160661025,0.10805633988243424
88,Normal,Myeloid,0.039055856084797,0.04251988160661025,0.09290947293573966
90,Tumor,NK,0.5146703956194166,0.3722326639186376,0.7204904628667946
90,Normal,NK,0.27578887130721674,0.3722326639186376,0.32695115397296254
90,Tumor,CD8T,0.19064790589044522,0.16616781122380384,0.18493348782353985
